Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
17.8158,asiya,Click,Click,1168,600,466.46,-15150.23,None,N/A,
17.8203,asiya,Click,Click,1166,599,495.21,6367.57,None,N/A,
17.8306,asiya,Click,Click,1164,599,195.05,-29273.05,None,N/A,
17.8414,asiya,Click,Click,1160,598,382.07,17329.89,None,N/A,
17.8512,asiya,Click,Click,1159,598,101.46,-28470.29,None,N/A,
17.8608,asiya,Click,Click,1156,597,332.43,24280.21,None,N/A,
17.8709,asiya,Click,Click,1155,597,98.21,-23002.73,None,N/A,
17.8806,asiya,Click,Click,1155,597,0.00,-10216.45,None,N/A,
17.8914,asiya,Click,Click,1154,597,92.50,8556.18,None,N/A,
17.9013,asiya,Click,Click,1153,597,100.41,794.22,None,N/A,
17.9108,asiya,Click,Click,1153,597,0.00,-10633.70,None,N/A,
17.9210,asiya,Click,Click,1152,597,98.18,9638.66,None,N/A,
17.9304,asiya,Click,Click,1152,596,105.72,797.99,None,N/A,
17.9414,asiya,Click,Click,1152,596,0.00,-9663.13,None,N/A,
17.9513,asiya,Click,Click,1151,596,100.22,10044.99,None,N/A,
17.9608,asiya,Click,Click,1151,596,0.00,-10561.87,None,N/A,
17.9707,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
17.9814,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
17.9908,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.0012,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.0107,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.0208,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.0312,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.0412,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.0508,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.0607,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.0712,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.0806,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.0910,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.1015,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.1110,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.1214,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.1309,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.1414,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.1510,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.1609,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.1707,asiya,Click,Click,1151,596,0.00,0.00,None,N/A,
18.1808,asiya,Click,Click,1151,597,98.83,9767.64,None,N/A,
18.1912,asiya,Click,Click,1150,597,96.05,-266.75,None,N/A,
18.2014,asiya,Click,Click,1150,598,98.89,280.15,None,N/A,
18.2107,asiya,Click,Click,1149,599,151.81,5681.49,None,N/A,
18.2213,asiya,Click,Click,1148,601,210.26,5496.10,None,N/A,
18.2309,asiya,Click,Click,1146,602,233.79,2460.00,None,N/A,
18.2411,asiya,Click,Click,1142,607,624.44,38096.97,None,N/A,
18.2508,asiya,Click,Click,1138,612,658.40,3491.28,None,N/A,
18.2605,asiya,Click,Click,1125,628,2133.74,152700.89,None,N/A,
18.2709,asiya,Click,Click,1115,639,1426.15,-67881.54,None,N/A,
18.2807,asiya,Click,Click,1099,659,2617.03,121681.80,None,N/A,
18.2907,asiya,Click,Click,1094,666,859.62,-175616.03,None,N/A,
18.3012,asiya,Click,Click,1083,677,1479.85,59001.58,None,N/A,
18.3112,asiya,Click,Click,1078,682,711.01,-77308.35,None,N/A,
18.3210,asiya,Click,Click,1066,691,1531.62,83792.00,None,N/A,
18.3312,asiya,Click,Click,1059,697,899.65,-61668.65,None,N/A,
18.3406,asiya,Click,Click,1050,703,1152.07,26884.59,None,N/A,
18.3513,asiya,Click,Click,1033,715,1940.24,73490.96,None,N/A,
18.3611,asiya,Click,Click,1026,718,777.33,-118696.45,None,N/A,
18.3709,asiya,Click,Click,1016,723,1150.17,38356.10,None,N/A,
18.3809,asiya,Click,Click,1012,725,446.41,-70249.66,None,N/A,
18.3911,asiya,Click,Click,1006,727,618.28,16801.68,None,N/A,
18.4009,asiya,Click,Click,1003,728,321.32,-30173.71,None,N/A,
18.4104,asiya,Click,Click,1000,730,381.45,6361.79,None,N/A,
18.4212,asiya,Click,Click,1000,730,0.00,-35156.51,None,N/A,
18.4308,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.4411,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.4506,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.4614,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.4708,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.4813,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.4908,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.5013,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.5107,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.5212,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.5307,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.5411,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.5506,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.5610,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.5705,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.5815,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.5910,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.6005,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.6111,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.6205,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.6310,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.6408,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.6513,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.6608,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.6712,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.6806,asiya,Click,Click,1000,730,0.00,0.00,None,N/A,
18.6910,asiya,Click,Click,991,732,880.72,84132.10,None,N/A,
18.7011,asiya,Click,Click,980,735,1131.41,24876.69,None,N/A,
18.7110,asiya,Click,Click,968,739,1275.92,14577.31,None,N/A,
18.7207,asiya,Click,Click,951,746,1895.89,63931.94,None,N/A,
18.7306,asiya,Click,Click,946,748,546.66,-136963.28,None,N/A,
18.7413,asiya,Click,Click,940,752,673.08,11799.78,None,N/A,
18.7512,asiya,Click,Click,937,754,364.07,-31202.30,None,N/A,
18.7609,asiya,Click,Click,932,758,663.49,31025.36,None,N/A,
18.7711,asiya,Click,Click,929,760,353.44,-30392.97,None,N/A,
18.7804,asiya,Click,Click,925,763,534.77,19394.43,None,N/A,
18.7914,asiya,Click,Click,924,764,129.03,-37019.42,None,N/A,
18.8010,asiya,Click,Click,921,767,438.28,31945.82,None,N/A,
18.8111,asiya,Click,Click,920,767,99.72,-33761.37,None,N/A,
18.8215,asiya,Click,Click,918,769,272.41,16632.21,None,N/A,
18.8305,asiya,Click,Click,918,769,0.00,-30259.00,None,N/A,
18.8408,asiya,Click,Click,917,770,137.32,13334.23,None,N/A,
18.8515,asiya,Click,Click,916,771,132.15,-483.42,None,N/A,
18.8611,asiya,Click,Click,915,772,146.54,1490.76,None,N/A,
18.8710,asiya,Click,Click,913,773,227.14,8187.44,None,N/A,
18.8806,asiya,Click,Click,912,775,232.16,521.90,None,N/A,
18.8912,asiya,Click,Click,909,777,338.25,9952.16,None,N/A,
18.9013,asiya,Click,Click,908,779,222.47,-11518.96,None,N/A,
18.9105,asiya,Click,Click,906,781,305.99,9035.48,None,N/A,
18.9209,asiya,Click,Click,905,783,216.75,-8650.22,None,N/A,
18.9305,asiya,Click,Click,904,784,146.91,-7255.71,None,N/A,
18.9413,asiya,Click,Click,902,786,260.86,10510.15,None,N/A,
18.9512,asiya,Click,Click,901,788,227.10,-3428.66,None,N/A,
18.9610,asiya,Click,Click,899,790,288.36,6244.60,None,N/A,
18.9710,asiya,Click,Click,898,792,224.07,-6441.86,None,N/A,
18.9806,asiya,Click,Click,896,796,463.66,24840.43,None,N/A,
18.9904,asiya,Click,Click,894,798,287.52,-17905.69,None,N/A,
19.0012,asiya,Click,Click,890,805,749.59,42961.41,None,N/A,
19.0114,asiya,Click,Click,888,810,527.88,-21733.09,None,N/A,
19.0205,asiya,Click,Click,884,819,1084.48,61289.03,None,N/A,
19.0315,asiya,Click,Click,883,823,375.80,-64592.97,None,N/A,
19.0407,asiya,Click,Click,881,826,390.43,1583.84,None,N/A,
19.0511,asiya,Click,Click,879,833,700.75,29869.73,None,N/A,
19.0610,asiya,Click,Click,878,836,320.08,-38530.33,None,N/A,
19.0708,asiya,Click,Click,876,841,548.27,23231.89,None,N/A,
19.0806,asiya,Click,Click,876,844,304.16,-24749.44,None,N/A,
19.0914,asiya,Click,Click,876,849,466.27,15118.09,None,N/A,
19.1008,asiya,Click,Click,876,849,0.00,-49261.64,None,N/A,
19.1112,asiya,Click,Click,876,849,0.00,0.00,None,N/A,
19.1207,asiya,Click,Click,876,849,0.00,0.00,None,N/A,
