Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
77.6371,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.6476,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.6580,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.6674,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.6778,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.6873,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.6978,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.7072,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.7177,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.7282,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.7377,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.7482,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.7576,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.7679,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.7774,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.7879,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.7974,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.8075,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.8180,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.8278,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.8374,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.8479,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.8573,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.8677,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.8782,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.8876,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.8981,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.9076,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.9181,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.9279,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.9376,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.9481,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.9575,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.9679,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.9778,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.9878,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
77.9973,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.0077,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.0181,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.0275,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.0381,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.0476,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.0574,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.0680,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.0774,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.0879,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.0974,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.1079,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.1173,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.1278,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.1373,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.1478,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.1582,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.1676,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.1781,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.1876,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.1982,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.2077,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.2172,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.2278,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.2373,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.2481,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.2577,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.2679,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.2778,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.2874,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.2980,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.3080,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.3181,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.3276,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.3382,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.3478,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.3573,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.3678,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.3774,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.3880,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.3982,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.4083,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.4181,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.4277,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.4373,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.4479,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.4573,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.4677,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.4772,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.4876,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.4981,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.5075,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.5179,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.5273,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.5377,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.5472,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.5579,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.5677,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.5788,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.5874,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.5982,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.6077,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.6174,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.6279,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.6375,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.6479,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.6574,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.6678,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.6773,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.6878,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.6973,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.7081,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.7175,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.7281,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.7381,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.7476,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.7580,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.7674,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.7779,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.7875,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.7981,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.8076,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.8181,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.8276,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.8382,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.8478,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.8573,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.8679,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.8774,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.8874,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.8979,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.9075,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.9180,asiya,DoubleClick,Double Click,954,615,0.00,0.00,None,N/A,
78.9271,asiya,DoubleClick,Double Click,964,602,1791.31,195643.60,None,N/A,
78.9386,asiya,DoubleClick,Double Click,1017,547,6678.69,427350.93,None,N/A,
78.9476,asiya,DoubleClick,Double Click,1144,451,17660.82,1218291.34,None,N/A,
78.9574,asiya,DoubleClick,Double Click,1179,428,4252.05,-1361358.74,None,N/A,
78.9675,asiya,DoubleClick,Double Click,1206,412,3105.09,-113476.45,None,N/A,
78.9781,asiya,DoubleClick,Double Click,1247,391,4348.96,117432.96,None,N/A,
78.9881,asiya,DoubleClick,Double Click,1261,384,1576.26,-279220.97,None,N/A,
78.9980,asiya,DoubleClick,Double Click,1278,376,1890.37,31603.81,None,N/A,
79.0076,asiya,DoubleClick,Double Click,1281,374,375.20,-157670.90,None,N/A,
79.0174,asiya,DoubleClick,Double Click,1285,373,421.76,4763.16,None,N/A,
79.0272,asiya,DoubleClick,Double Click,1286,372,143.59,-28243.75,None,N/A,
79.0377,asiya,DoubleClick,Double Click,1287,371,135.11,-809.93,None,N/A,
79.0476,asiya,DoubleClick,Double Click,1288,371,101.19,-3432.66,None,N/A,
79.0572,asiya,DoubleClick,Double Click,1288,369,208.37,11166.23,None,N/A,
79.0676,asiya,DoubleClick,Double Click,1288,369,0.00,-19950.93,None,N/A,
79.0782,asiya,DoubleClick,Double Click,1288,369,0.00,0.00,None,N/A,
79.0877,asiya,DoubleClick,Double Click,1288,369,0.00,0.00,None,N/A,
79.0982,asiya,DoubleClick,Double Click,1288,369,0.00,0.00,None,N/A,
79.1076,asiya,DoubleClick,Double Click,1288,369,0.00,0.00,None,N/A,
79.1180,asiya,DoubleClick,Double Click,1288,369,0.00,0.00,None,N/A,
79.1274,asiya,DoubleClick,Double Click,1288,369,0.00,0.00,None,N/A,
79.1380,asiya,DoubleClick,Double Click,1288,369,0.00,0.00,None,N/A,
79.1474,asiya,DoubleClick,Double Click,1288,369,0.00,0.00,None,N/A,
79.1579,asiya,DoubleClick,Double Click,1288,369,0.00,0.00,None,N/A,
79.1682,asiya,DoubleClick,Double Click,1288,369,0.00,0.00,None,N/A,
79.1776,asiya,DoubleClick,Double Click,1288,369,0.00,0.00,None,N/A,
79.1881,asiya,DoubleClick,Double Click,1288,369,0.00,0.00,None,N/A,
79.1975,asiya,DoubleClick,Double Click,1288,369,0.00,0.00,None,N/A,
