Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
36.1856,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.1906,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.2010,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.2106,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.2214,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.2314,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.2413,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.2509,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.2613,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.2709,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.2805,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.2911,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.3007,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.3112,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.3208,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.3314,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.3413,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.3516,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.3611,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.3711,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.3812,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.3908,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.4013,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.4109,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.4205,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.4310,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.4414,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.4510,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.4605,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.4712,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.4808,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.4913,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.5008,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.5113,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.5212,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.5309,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.5417,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.5513,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.5609,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.5714,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.5808,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.5912,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.6006,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.6111,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.6206,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.6310,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.6415,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.6510,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.6615,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.6709,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.6813,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.6908,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.7012,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.7107,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.7213,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.7308,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.7413,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.7508,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.7612,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.7708,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.7814,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.7909,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.8013,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.8108,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.8206,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.8312,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.8407,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.8510,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.8606,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.8711,asiya,Drag,Drag,1120,825,0.00,0.00,None,N/A,
36.8812,asiya,Drag,Drag,1118,823,281.70,28056.43,None,N/A,
36.8907,asiya,Drag,Drag,1115,819,524.34,25445.11,None,N/A,
36.9005,asiya,Drag,Drag,1106,808,1455.41,95344.16,None,N/A,
36.9115,asiya,Drag,Drag,1101,803,640.68,-73819.48,None,N/A,
36.9209,asiya,Drag,Drag,1092,793,1429.80,83865.45,None,N/A,
36.9312,asiya,Drag,Drag,1089,789,485.58,-91698.71,None,N/A,
36.9405,asiya,Drag,Drag,1085,785,609.09,13299.42,None,N/A,
36.9505,asiya,Drag,Drag,1083,782,360.81,-24845.63,None,N/A,
36.9613,asiya,Drag,Drag,1076,775,915.94,51362.80,None,N/A,
36.9711,asiya,Drag,Drag,1073,771,510.43,-41397.12,None,N/A,
36.9807,asiya,Drag,Drag,1068,767,667.53,16377.53,None,N/A,
36.9906,asiya,Drag,Drag,1067,765,225.41,-44568.06,None,N/A,
37.0008,asiya,Drag,Drag,1065,763,276.98,5050.24,None,N/A,
37.0108,asiya,Drag,Drag,1063,760,363.00,8659.95,None,N/A,
37.0210,asiya,Drag,Drag,1061,758,276.26,-8471.54,None,N/A,
37.0308,asiya,Drag,Drag,1055,752,866.48,60270.61,None,N/A,
37.0408,asiya,Drag,Drag,1052,750,359.19,-50536.86,None,N/A,
37.0506,asiya,Drag,Drag,1048,746,578.60,22442.11,None,N/A,
37.0606,asiya,Drag,Drag,1046,745,224.23,-35535.39,None,N/A,
37.0713,asiya,Drag,Drag,1039,740,802.87,54004.99,None,N/A,
37.0814,asiya,Drag,Drag,1034,737,576.81,-22361.81,None,N/A,
37.0906,asiya,Drag,Drag,1024,731,1270.98,75654.04,None,N/A,
37.1006,asiya,Drag,Drag,1021,729,361.19,-91139.36,None,N/A,
37.1113,asiya,Drag,Drag,1017,727,417.36,5241.99,None,N/A,
37.1213,asiya,Drag,Drag,1015,726,224.28,-19366.39,None,N/A,
37.1309,asiya,Drag,Drag,1014,725,146.64,-8049.96,None,N/A,
37.1405,asiya,Drag,Drag,1012,724,232.75,8963.27,None,N/A,
37.1505,asiya,Drag,Drag,1011,723,141.71,-9122.85,None,N/A,
37.1610,asiya,Drag,Drag,1010,723,95.21,-4427.12,None,N/A,
37.1705,asiya,Drag,Drag,1009,722,148.97,5662.75,None,N/A,
37.1806,asiya,Drag,Drag,1009,722,0.00,-14670.25,None,N/A,
37.1907,asiya,Drag,Drag,1008,721,140.99,14056.24,None,N/A,
37.2013,asiya,Drag,Drag,1008,721,0.00,-13219.77,None,N/A,
37.2108,asiya,Drag,Drag,1008,721,0.00,0.00,None,N/A,
37.2212,asiya,Drag,Drag,1008,721,0.00,0.00,None,N/A,
37.2306,asiya,Drag,Drag,1008,721,0.00,0.00,None,N/A,
37.2411,asiya,Drag,Drag,1008,721,0.00,0.00,None,N/A,
37.2506,asiya,Drag,Drag,1008,721,0.00,0.00,None,N/A,
37.2612,asiya,Drag,Drag,1008,721,0.00,0.00,None,N/A,
37.2707,asiya,Drag,Drag,1008,721,0.00,0.00,None,N/A,
37.2811,asiya,Drag,Drag,1008,721,0.00,0.00,None,N/A,
37.2906,asiya,Drag,Drag,1008,721,0.00,0.00,None,N/A,
37.3012,asiya,Drag,Drag,1008,721,0.00,0.00,None,N/A,
37.3107,asiya,Drag,Drag,1008,721,0.00,0.00,None,N/A,
37.3212,asiya,Drag,Drag,1008,721,0.00,0.00,None,N/A,
37.3310,asiya,Drag,Drag,1008,722,101.50,10302.84,None,N/A,
37.3414,asiya,Drag,Drag,1008,722,0.00,-9754.03,None,N/A,
37.3515,asiya,Drag,Drag,1008,722,0.00,0.00,None,N/A,
37.3605,asiya,Drag,Drag,1008,723,111.06,12333.74,None,N/A,
37.3710,asiya,Drag,Drag,1008,723,0.00,-10574.30,None,N/A,
37.3807,asiya,Drag,Drag,1008,724,102.83,10574.38,None,N/A,
37.3912,asiya,Drag,Drag,1008,725,94.75,-765.93,None,N/A,
37.4009,asiya,Drag,Drag,1008,725,0.00,-9822.09,None,N/A,
37.4105,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.4214,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.4308,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.4415,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.4512,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.4607,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.4713,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.4807,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.4912,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.5007,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.5111,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.5206,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.5312,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.5408,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.5513,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.5607,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.5711,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.5809,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.5914,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.6010,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.6106,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.6207,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.6312,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.6407,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.6512,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
37.6607,asiya,Drag,Drag,1008,725,0.00,0.00,None,N/A,
