Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
89.1808,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,Left,N/A,
89.1918,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,Left,N/A,
89.2016,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,Left,N/A,
89.2111,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,Left,N/A,
89.2217,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,Left,N/A,
89.2313,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,Left,N/A,
89.2419,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,Left,N/A,
89.2515,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,Left,N/A,
89.2620,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,None,N/A,
89.2716,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,None,N/A,
89.2811,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,None,N/A,
89.2917,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,None,N/A,
89.3012,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,None,N/A,
89.3120,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,None,N/A,
89.3220,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,None,N/A,
89.3316,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,None,N/A,
89.3411,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,None,N/A,
89.3516,asiya,MenuSelection,Menu Selection,914,593,0.00,0.00,None,N/A,
89.3617,asiya,MenuSelection,Menu Selection,927,578,1963.88,194303.05,None,N/A,
89.3711,asiya,MenuSelection,Menu Selection,1000,510,10626.87,922776.01,None,N/A,
89.3813,asiya,MenuSelection,Menu Selection,1026,492,3101.79,-738113.64,None,N/A,
89.3911,asiya,MenuSelection,Menu Selection,1046,479,2433.65,-68166.06,None,N/A,
89.4018,asiya,MenuSelection,Menu Selection,1082,457,3929.78,139356.35,None,N/A,
89.4113,asiya,MenuSelection,Menu Selection,1097,450,1751.29,-230482.41,None,N/A,
89.4212,asiya,MenuSelection,Menu Selection,1115,441,2028.81,27977.87,None,N/A,
89.4315,asiya,MenuSelection,Menu Selection,1120,439,525.12,-146628.69,None,N/A,
89.4415,asiya,MenuSelection,Menu Selection,1127,437,725.92,20021.94,None,N/A,
89.4518,asiya,MenuSelection,Menu Selection,1129,436,216.30,-49296.42,None,N/A,
89.4611,asiya,MenuSelection,Menu Selection,1133,434,483.74,28928.36,None,N/A,
89.4714,asiya,MenuSelection,Menu Selection,1135,433,217.61,-25899.37,None,N/A,
89.4809,asiya,MenuSelection,Menu Selection,1138,433,313.05,9958.25,None,N/A,
89.4910,asiya,MenuSelection,Menu Selection,1139,432,140.57,-17143.92,None,N/A,
89.5013,asiya,MenuSelection,Menu Selection,1141,432,193.79,5157.02,None,N/A,
89.5116,asiya,MenuSelection,Menu Selection,1141,432,0.00,-18787.35,None,N/A,
89.5214,asiya,MenuSelection,Menu Selection,1142,432,102.52,10509.35,None,N/A,
89.5310,asiya,MenuSelection,Menu Selection,1142,432,0.00,-10696.54,None,N/A,
89.5415,asiya,MenuSelection,Menu Selection,1142,432,0.00,0.00,None,N/A,
89.5518,asiya,MenuSelection,Menu Selection,1141,433,136.88,13247.60,None,N/A,
