Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
0.0111,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.0214,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.0309,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.0405,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.0510,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.0605,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.0711,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.0807,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.0912,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.1013,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.1108,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.1212,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.1306,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.1411,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.1505,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.1610,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.1704,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.1810,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.1906,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.2011,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.2106,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.2212,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.2311,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.2409,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.2518,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.2620,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.2706,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.2818,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.2914,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.3013,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.3113,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.3210,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.3305,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.3411,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.3510,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.3605,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.3710,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.3809,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.3905,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.4011,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.4107,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.4213,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.4308,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.4414,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.4509,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.4614,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.4709,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.4814,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.4909,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.5014,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.5108,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.5213,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.5309,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.5415,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.5512,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.5610,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.5706,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.5814,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.5909,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.6014,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.6111,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.6206,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.6313,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.6410,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.6523,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.6617,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.6713,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.6812,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.6908,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.7012,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.7107,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.7213,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.7309,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.7405,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.7511,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.7606,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.7712,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
0.7809,asiya,Navigation,Navigation,1085,557,0.00,0.00,None,N/A,
