Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
61.7129,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.7211,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.7305,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.7408,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.7513,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.7608,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.7712,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.7806,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.7911,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.8006,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.8111,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.8206,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.8311,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.8415,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.8509,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.8613,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.8709,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.8813,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.8909,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.9014,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
61.9109,asiya,PrecisionSelection,Precision Selection,662,771,0.00,0.00,None,N/A,
