Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
163.9687,asiya,Scroll,Scroll,818,363,0.00,-5952.49,None,N/A,
163.9716,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
163.9811,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
163.9916,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.0010,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.0114,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.0219,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.0313,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.0416,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.0511,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.0617,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.0712,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.0819,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.0915,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.1010,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.1116,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.1210,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.1315,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.1411,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.1517,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.1612,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.1716,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.1810,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.1913,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.2068,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.2112,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.2217,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.2314,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.2418,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.2514,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.2622,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.2722,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.2818,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.2918,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.3018,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.3119,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.3219,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.3315,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.3410,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.3515,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.3610,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.3715,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.3814,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.3913,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.4023,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.4114,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.4211,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.4316,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.4411,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.4517,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.4613,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.4717,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.4813,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.4917,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.5013,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.5118,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.5213,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.5317,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.5412,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.5518,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.5615,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.5717,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.5812,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.5919,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.6014,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.6109,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.6214,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.6319,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.6414,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.6510,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.6618,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.6714,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.6810,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.6916,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.7026,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.7117,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.7221,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.7318,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.7413,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.7518,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.7612,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.7717,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.7813,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.7913,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.8018,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.8112,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.8218,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.8313,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.8418,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.8513,asiya,Scroll,Scroll,818,363,0.00,0.00,None,N/A,
164.8616,asiya,Scroll,Scroll,821,364,306.42,29691.01,None,N/A,
164.8716,asiya,Scroll,Scroll,825,365,412.50,10612.93,None,N/A,
164.8815,asiya,Scroll,Scroll,831,367,636.74,22575.74,None,N/A,
164.8911,asiya,Scroll,Scroll,843,374,1451.18,85074.85,None,N/A,
164.9010,asiya,Scroll,Scroll,849,378,732.57,-73002.76,None,N/A,
164.9118,asiya,Scroll,Scroll,863,389,1637.30,83199.69,None,N/A,
164.9217,asiya,Scroll,Scroll,868,393,647.55,-100094.40,None,N/A,
164.9312,asiya,Scroll,Scroll,878,401,1353.63,74632.40,None,N/A,
164.9412,asiya,Scroll,Scroll,882,405,567.20,-78853.35,None,N/A,
164.9510,asiya,Scroll,Scroll,889,411,939.72,37970.09,None,N/A,
164.9611,asiya,Scroll,Scroll,892,414,417.63,-51392.93,None,N/A,
164.9713,asiya,Scroll,Scroll,899,420,902.93,47527.55,None,N/A,
164.9813,asiya,Scroll,Scroll,901,422,285.32,-62301.33,None,N/A,
164.9913,asiya,Scroll,Scroll,903,424,281.43,-387.24,None,N/A,
165.0011,asiya,Scroll,Scroll,907,427,511.33,23510.63,None,N/A,
165.0119,asiya,Scroll,Scroll,908,429,206.56,-28153.08,None,N/A,
165.0216,asiya,Scroll,Scroll,910,431,291.61,8768.89,None,N/A,
165.0312,asiya,Scroll,Scroll,911,432,147.07,-15031.33,None,N/A,
165.0411,asiya,Scroll,Scroll,913,434,287.21,14230.25,None,N/A,
165.0519,asiya,Scroll,Scroll,914,435,130.58,-14462.51,None,N/A,
165.0616,asiya,Scroll,Scroll,915,437,230.22,10257.62,None,N/A,
165.0717,asiya,Scroll,Scroll,916,438,139.85,-8936.11,None,N/A,
165.0813,asiya,Scroll,Scroll,916,440,208.23,7118.78,None,N/A,
165.0911,asiya,Scroll,Scroll,917,440,102.42,-10836.69,None,N/A,
165.1015,asiya,Scroll,Scroll,917,441,96.14,-604.15,None,N/A,
165.1115,asiya,Scroll,Scroll,918,442,141.43,4529.92,None,N/A,
165.1214,asiya,Scroll,Scroll,918,442,0.00,-14303.11,None,N/A,
165.1312,asiya,Scroll,Scroll,919,443,144.54,14772.07,None,N/A,
165.1420,asiya,Scroll,Scroll,919,443,0.00,-13370.18,None,N/A,
165.1513,asiya,Scroll,Scroll,920,443,107.04,11456.66,None,N/A,
165.1615,asiya,Scroll,Scroll,920,443,0.00,-10548.66,None,N/A,
165.1710,asiya,Scroll,Scroll,920,443,0.00,0.00,None,N/A,
165.1814,asiya,Scroll,Scroll,920,443,0.00,0.00,None,N/A,
165.1910,asiya,Scroll,Scroll,920,443,0.00,0.00,None,N/A,
165.2015,asiya,Scroll,Scroll,920,443,0.00,0.00,None,N/A,
165.2114,asiya,Scroll,Scroll,920,443,0.00,0.00,None,N/A,
165.2213,asiya,Scroll,Scroll,920,443,0.00,0.00,None,N/A,
165.2318,asiya,Scroll,Scroll,920,443,0.00,0.00,None,N/A,
165.2413,asiya,Scroll,Scroll,920,443,0.00,0.00,None,N/A,
165.2519,asiya,Scroll,Scroll,920,442,94.06,8846.80,None,N/A,
165.2618,asiya,Scroll,Scroll,920,442,0.00,-9484.67,None,N/A,
165.2714,asiya,Scroll,Scroll,920,442,0.00,0.00,None,N/A,
165.2810,asiya,Scroll,Scroll,920,442,0.00,0.00,None,N/A,
165.2914,asiya,Scroll,Scroll,920,442,0.00,0.00,None,N/A,
165.3016,asiya,Scroll,Scroll,920,442,0.00,0.00,None,N/A,
165.3111,asiya,Scroll,Scroll,920,442,0.00,0.00,None,N/A,
165.3216,asiya,Scroll,Scroll,920,442,0.00,0.00,None,N/A,
165.3312,asiya,Scroll,Scroll,920,442,0.00,0.00,None,N/A,
165.3417,asiya,Scroll,Scroll,920,442,0.00,0.00,None,N/A,
165.3512,asiya,Scroll,Scroll,920,442,0.00,0.00,None,N/A,
165.3618,asiya,Scroll,Scroll,920,442,0.00,0.00,None,N/A,
165.3712,asiya,Scroll,Scroll,920,442,0.00,0.00,None,N/A,
165.3814,asiya,Scroll,Scroll,920,442,0.00,0.00,None,N/A,
165.3911,asiya,Scroll,Scroll,921,441,145.80,15030.99,None,N/A,
165.4016,asiya,Scroll,Scroll,921,441,0.00,-13935.89,None,N/A,
165.4111,asiya,Scroll,Scroll,921,441,0.00,0.00,None,N/A,
165.4217,asiya,Scroll,Scroll,921,441,0.00,0.00,None,N/A,
165.4311,asiya,Scroll,Scroll,921,441,0.00,0.00,None,N/A,
165.4415,asiya,Scroll,Scroll,921,441,0.00,0.00,None,N/A,
165.4510,asiya,Scroll,Scroll,921,441,0.00,0.00,None,N/A,
165.4615,asiya,Scroll,Scroll,921,441,0.00,0.00,None,N/A,
165.4719,asiya,Scroll,Scroll,921,441,0.00,0.00,None,N/A,
