Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
113.2657,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.2714,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.2819,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.2914,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.3019,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.3118,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.3218,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.3319,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.3415,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.3510,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.3619,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.3716,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.3809,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.3913,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.4019,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.4114,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.4220,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.4315,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.4411,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.4516,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.4612,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.4717,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.4812,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.4917,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.5013,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.5112,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.5218,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.5313,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.5419,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.5515,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.5611,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.5717,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.5812,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.5918,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.6015,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.6123,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.6210,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.6318,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.6414,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.6519,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.6615,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.6710,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.6815,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.6912,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.7016,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.7110,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.7214,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.7319,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.7414,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.7519,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.7616,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.7711,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.7816,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.7912,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.8017,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.8118,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.8216,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.8311,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.8416,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.8511,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.8617,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.8713,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.8818,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.8916,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.9013,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.9115,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.9212,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.9317,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.9414,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.9518,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.9613,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.9719,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.9814,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
113.9918,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
114.0013,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
114.0118,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
114.0213,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
114.0318,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
114.0413,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
114.0518,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
114.0613,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
114.0712,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
114.0817,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
114.0912,asiya,SliderControl,Slider Control,1055,458,0.00,0.00,None,N/A,
