Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
5.9355,cer,Click,Click,795,277,599.88,-34875.80,None,N/A,
5.9454,cer,Click,Click,810,273,1574.76,98891.21,None,N/A,
5.9553,cer,Click,Click,818,272,812.31,-76820.23,None,N/A,
5.9654,cer,Click,Click,828,271,1001.60,18865.13,None,N/A,
5.9756,cer,Click,Click,842,269,1375.68,36388.53,None,N/A,
5.9848,cer,Click,Click,848,268,662.95,-77678.84,None,N/A,
5.9956,cer,Click,Click,856,268,739.67,7093.56,None,N/A,
6.0054,cer,Click,Click,859,268,307.67,-44304.40,None,N/A,
6.0152,cer,Click,Click,864,267,519.93,21644.01,None,N/A,
6.0249,cer,Click,Click,867,267,307.61,-21770.58,None,N/A,
6.0357,cer,Click,Click,870,266,295.03,-1173.59,None,N/A,
6.0457,cer,Click,Click,872,266,199.82,-9512.64,None,N/A,
6.0552,cer,Click,Click,874,264,295.10,9940.39,None,N/A,
6.0654,cer,Click,Click,875,263,139.69,-15350.66,None,N/A,
6.0749,cer,Click,Click,876,262,148.27,899.87,None,N/A,
6.0849,cer,Click,Click,876,261,99.88,-4833.27,None,N/A,
6.0949,cer,Click,Click,876,259,200.66,10110.25,None,N/A,
6.1053,cer,Click,Click,876,259,0.00,-19184.19,None,N/A,
6.1150,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.1256,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.1351,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.1457,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.1552,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.1658,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.1753,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.1848,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.1955,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.2049,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.2157,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.2252,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.2357,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.2450,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.2555,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.2650,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.2755,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.2853,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.2949,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.3054,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.3150,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.3255,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.3349,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.3454,cer,Click,Click,876,259,0.00,0.00,None,N/A,
6.3555,cer,Click,Click,872,261,442.81,43845.29,None,N/A,
6.3649,cer,Click,Click,857,272,1974.80,162645.61,None,N/A,
6.3758,cer,Click,Click,840,282,1797.77,-16136.32,None,N/A,
6.3854,cer,Click,Click,813,302,3502.53,177703.16,None,N/A,
6.3957,cer,Click,Click,804,311,1235.47,-220058.04,None,N/A,
6.4049,cer,Click,Click,786,328,2706.93,160877.77,None,N/A,
6.4151,cer,Click,Click,780,335,900.59,-176448.60,None,N/A,
6.4271,cer,Click,Click,769,350,1554.46,54643.23,None,N/A,
6.4348,cer,Click,Click,764,357,1111.89,-57204.91,None,N/A,
6.4448,cer,Click,Click,758,364,922.29,-18967.09,None,N/A,
6.4552,cer,Click,Click,748,376,1503.58,55954.00,None,N/A,
6.4652,cer,Click,Click,745,381,581.24,-91940.77,None,N/A,
6.4751,cer,Click,Click,738,390,1162.46,59258.04,None,N/A,
6.4860,cer,Click,Click,736,393,328.20,-75939.50,None,N/A,
6.4955,cer,Click,Click,731,400,913.99,62240.19,None,N/A,
6.5053,cer,Click,Click,729,403,365.34,-55593.23,None,N/A,
6.5148,cer,Click,Click,725,409,758.70,41386.68,None,N/A,
6.5251,cer,Click,Click,724,412,307.59,-43878.71,None,N/A,
6.5349,cer,Click,Click,722,414,290.21,-1783.00,None,N/A,
6.5456,cer,Click,Click,721,415,131.45,-14756.72,None,N/A,
6.5551,cer,Click,Click,721,415,0.00,-13859.71,None,N/A,
6.5656,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.5751,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.5855,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.5949,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.6055,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.6150,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.6258,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.6358,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.6457,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.6553,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.6652,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.6749,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.6855,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.6951,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.7056,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.7151,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.7257,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.7352,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.7457,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.7551,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.7656,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.7752,cer,Click,Click,721,415,0.00,0.00,None,N/A,
6.7852,cer,Click,Click,724,431,1623.78,161968.81,None,N/A,
6.7957,cer,Click,Click,728,451,1938.97,29963.79,None,N/A,
6.8052,cer,Click,Click,739,494,4690.54,290783.90,None,N/A,
6.8155,cer,Click,Click,743,508,1408.18,-317450.95,None,N/A,
6.8249,cer,Click,Click,748,532,2613.81,128543.44,None,N/A,
6.8353,cer,Click,Click,750,542,982.22,-157145.76,None,N/A,
6.8454,cer,Click,Click,755,559,1747.14,75418.50,None,N/A,
6.8551,cer,Click,Click,758,566,789.94,-99284.65,None,N/A,
6.8658,cer,Click,Click,763,579,1299.26,47509.86,None,N/A,
6.8750,cer,Click,Click,766,583,542.63,-82113.90,None,N/A,
6.8854,cer,Click,Click,766,583,0.00,-52107.48,None,N/A,
6.8958,cer,Click,Click,766,583,0.00,0.00,None,N/A,
6.9053,cer,Click,Click,766,583,0.00,0.00,None,N/A,
6.9149,cer,Click,Click,766,583,0.00,0.00,None,N/A,
6.9258,cer,Click,Click,766,583,0.00,0.00,None,N/A,
6.9351,cer,Click,Click,766,583,0.00,0.00,None,N/A,
6.9455,cer,Click,Click,766,583,0.00,0.00,None,N/A,
6.9550,cer,Click,Click,766,583,0.00,0.00,None,N/A,
6.9655,cer,Click,Click,766,583,0.00,0.00,None,N/A,
6.9750,cer,Click,Click,766,583,0.00,0.00,None,N/A,
6.9855,cer,Click,Click,766,583,0.00,0.00,None,N/A,
6.9950,cer,Click,Click,766,583,0.00,0.00,None,N/A,
7.0054,cer,Click,Click,766,583,0.00,0.00,None,N/A,
7.0151,cer,Click,Click,766,583,0.00,0.00,None,N/A,
7.0256,cer,Click,Click,766,583,0.00,0.00,None,N/A,
7.0351,cer,Click,Click,766,583,0.00,0.00,None,N/A,
7.0454,cer,Click,Click,766,583,0.00,0.00,None,N/A,
7.0549,cer,Click,Click,766,583,0.00,0.00,None,N/A,
7.0654,cer,Click,Click,766,583,0.00,0.00,None,N/A,
7.0758,cer,Click,Click,766,583,0.00,0.00,None,N/A,
7.0852,cer,Click,Click,766,583,0.00,0.00,None,N/A,
7.0955,cer,Click,Click,764,586,352.24,34411.93,None,N/A,
7.1051,cer,Click,Click,761,594,887.12,55536.41,None,N/A,
7.1151,cer,Click,Click,759,598,444.71,-43993.45,None,N/A,
7.1250,cer,Click,Click,758,602,418.56,-2655.01,None,N/A,
7.1356,cer,Click,Click,756,608,594.11,16491.10,None,N/A,
7.1457,cer,Click,Click,754,611,359.64,-23387.77,None,N/A,
7.1551,cer,Click,Click,751,616,619.14,27554.86,None,N/A,
7.1650,cer,Click,Click,749,619,362.86,-25792.27,None,N/A,
7.1754,cer,Click,Click,746,625,644.22,27020.43,None,N/A,
7.1854,cer,Click,Click,744,627,284.87,-36192.52,None,N/A,
7.1953,cer,Click,Click,741,632,586.42,30327.07,None,N/A,
7.2050,cer,Click,Click,739,634,291.84,-30395.41,None,N/A,
7.2148,cer,Click,Click,737,637,369.05,7902.48,None,N/A,
7.2251,cer,Click,Click,736,638,136.98,-22477.81,None,N/A,
7.2351,cer,Click,Click,735,640,223.15,8600.06,None,N/A,
7.2454,cer,Click,Click,734,641,137.96,-8311.03,None,N/A,
7.2556,cer,Click,Click,734,642,97.71,-3932.36,None,N/A,
7.2649,cer,Click,Click,733,644,239.02,15104.91,None,N/A,
7.2750,cer,Click,Click,732,645,140.10,-9799.82,None,N/A,
7.2850,cer,Click,Click,732,646,100.33,-3990.13,None,N/A,
7.2955,cer,Click,Click,732,647,95.01,-505.07,None,N/A,
7.3048,cer,Click,Click,731,648,152.04,6131.40,None,N/A,
7.3158,cer,Click,Click,731,648,0.00,-13874.49,None,N/A,
7.3256,cer,Click,Click,731,649,102.31,10467.35,None,N/A,
7.3353,cer,Click,Click,731,649,0.00,-10507.85,None,N/A,
7.3449,cer,Click,Click,731,650,104.50,10921.27,None,N/A,
7.3553,cer,Click,Click,731,650,0.00,-10006.06,None,N/A,
7.3649,cer,Click,Click,731,650,0.00,0.00,None,N/A,
7.3754,cer,Click,Click,731,650,0.00,0.00,None,N/A,
7.3848,cer,Click,Click,731,650,0.00,0.00,None,N/A,
7.3952,cer,Click,Click,731,650,0.00,0.00,None,N/A,
7.4059,cer,Click,Click,731,650,0.00,0.00,None,N/A,
7.4157,cer,Click,Click,731,650,0.00,0.00,None,N/A,
7.4249,cer,Click,Click,731,649,108.04,11672.50,None,N/A,
7.4357,cer,Click,Click,731,649,0.00,-10028.10,None,N/A,
7.4452,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.4557,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.4653,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.4757,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.4852,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.4958,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.5053,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.5149,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.5254,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.5358,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.5452,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.5556,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.5651,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.5755,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.5849,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.5953,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.6058,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.6148,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.6253,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.6352,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.6458,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.6552,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.6662,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.6758,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.6873,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.6959,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.7056,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.7151,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.7257,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.7355,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.7455,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.7551,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.7659,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.7755,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.7850,cer,Click,Click,731,649,0.00,0.00,Left,N/A,
7.7934,cer,Click,Click,731,649,0.00,0.00,None,N/A,click_target
7.7957,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.8054,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.8150,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.8256,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.8351,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.8456,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.8552,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.8657,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.8752,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.8857,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.8951,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.9056,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.9154,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.9258,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.9353,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.9457,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.9552,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.9658,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.9753,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.9857,cer,Click,Click,731,649,0.00,0.00,None,N/A,
7.9951,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.0057,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.0156,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.0250,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.0356,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.0452,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.0550,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.0656,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.0751,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.0857,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.0952,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.1058,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.1154,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.1249,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.1355,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.1450,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.1555,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.1656,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.1750,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.1854,cer,Click,Click,731,649,0.00,0.00,None,N/A,
8.1957,cer,Click,Click,724,641,1040.95,101934.76,None,N/A,
8.2050,cer,Click,Click,654,558,11674.07,1143259.29,None,N/A,
8.2158,cer,Click,Click,625,528,3833.20,-720321.77,None,N/A,
8.2257,cer,Click,Click,583,491,5658.85,184571.72,None,N/A,
8.2352,cer,Click,Click,563,474,2774.37,-304875.21,None,N/A,
8.2451,cer,Click,Click,520,440,5526.59,277471.42,None,N/A,
8.2558,cer,Click,Click,496,424,2691.24,-264544.03,None,N/A,
8.2655,cer,Click,Click,455,395,5183.86,257298.26,None,N/A,
8.2757,cer,Click,Click,434,383,2382.83,-275951.96,None,N/A,
8.2851,cer,Click,Click,395,364,4616.33,237669.59,None,N/A,
8.2951,cer,Click,Click,379,357,1741.07,-286644.83,None,N/A,
8.3058,cer,Click,Click,352,346,2720.08,91339.51,None,N/A,
8.3149,cer,Click,Click,342,342,1188.63,-169013.30,None,N/A,
8.3256,cer,Click,Click,332,339,972.85,-20107.39,None,N/A,
8.3350,cer,Click,Click,319,335,1452.21,51181.15,None,N/A,
8.3454,cer,Click,Click,314,334,490.87,-92546.29,None,N/A,
8.3550,cer,Click,Click,307,332,752.91,27099.84,None,N/A,
8.3658,cer,Click,Click,306,332,92.68,-61189.78,None,N/A,
8.3755,cer,Click,Click,304,332,207.40,11896.12,None,N/A,
8.3853,cer,Click,Click,303,332,102.04,-10750.68,None,N/A,
8.3948,cer,Click,Click,302,332,105.32,345.40,None,N/A,
8.4057,cer,Click,Click,302,332,0.00,-9588.81,None,N/A,
8.4150,cer,Click,Click,302,333,108.32,11732.87,None,N/A,
8.4256,cer,Click,Click,301,333,94.49,-1307.01,None,N/A,
8.4354,cer,Click,Click,301,334,102.06,773.18,None,N/A,
8.4452,cer,Click,Click,301,335,101.55,-51.69,None,N/A,
8.4550,cer,Click,Click,302,336,143.69,4280.85,None,N/A,
8.4657,cer,Click,Click,304,339,338.79,18333.34,None,N/A,
8.4757,cer,Click,Click,306,341,283.74,-5522.71,None,N/A,
8.4849,cer,Click,Click,308,345,484.54,21755.61,None,N/A,
8.4951,cer,Click,Click,310,347,276.26,-20343.15,None,N/A,
8.5048,cer,Click,Click,312,351,460.53,18975.78,None,N/A,
8.5157,cer,Click,Click,313,353,205.81,-23444.84,None,N/A,
8.5252,cer,Click,Click,316,357,525.97,33679.60,None,N/A,
8.5352,cer,Click,Click,317,360,317.82,-20919.94,None,N/A,
8.5453,cer,Click,Click,318,362,219.42,-9655.59,None,N/A,
