Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
48.0268,cer,DoubleClick,Double Click,157,562,0.00,0.00,None,N/A,
48.0370,cer,DoubleClick,Double Click,157,562,0.00,0.00,None,N/A,
48.0475,cer,DoubleClick,Double Click,157,562,0.00,0.00,None,N/A,
48.0571,cer,DoubleClick,Double Click,157,562,0.00,0.00,None,N/A,
48.0676,cer,DoubleClick,Double Click,157,562,0.00,0.00,None,N/A,
48.0771,cer,DoubleClick,Double Click,157,562,0.00,0.00,None,N/A,
48.0874,cer,DoubleClick,Double Click,157,562,0.00,0.00,None,N/A,
48.0978,cer,DoubleClick,Double Click,167,561,967.95,93227.51,None,N/A,
48.1077,cer,DoubleClick,Double Click,173,560,614.28,-35715.89,None,N/A,
48.1169,cer,DoubleClick,Double Click,195,555,2458.38,200942.87,None,N/A,
48.1273,cer,DoubleClick,Double Click,217,549,2188.02,-25941.08,None,N/A,
48.1371,cer,DoubleClick,Double Click,236,543,2032.81,-15834.80,None,N/A,
48.1469,cer,DoubleClick,Double Click,264,533,3042.19,103280.09,None,N/A,
48.1579,cer,DoubleClick,Double Click,278,526,1424.54,-147223.52,None,N/A,
48.1674,cer,DoubleClick,Double Click,300,512,2741.41,138440.64,None,N/A,
48.1772,cer,DoubleClick,Double Click,307,507,877.19,-190097.48,None,N/A,
48.1878,cer,DoubleClick,Double Click,319,499,1362.90,45899.68,None,N/A,
48.1973,cer,DoubleClick,Double Click,323,496,524.94,-87976.38,None,N/A,
48.2075,cer,DoubleClick,Double Click,326,494,354.89,-16738.40,None,N/A,
48.2175,cer,DoubleClick,Double Click,328,494,198.90,-15512.76,None,N/A,
48.2271,cer,DoubleClick,Double Click,329,493,147.61,-5353.80,None,N/A,
48.2378,cer,DoubleClick,Double Click,330,493,93.39,-5063.66,None,N/A,
48.2478,cer,DoubleClick,Double Click,330,493,0.00,-9359.22,None,N/A,
48.2574,cer,DoubleClick,Double Click,330,493,0.00,0.00,None,N/A,
48.2671,cer,DoubleClick,Double Click,330,493,0.00,0.00,None,N/A,
48.2771,cer,DoubleClick,Double Click,330,493,0.00,0.00,None,N/A,
48.2870,cer,DoubleClick,Double Click,329,493,100.37,10073.38,None,N/A,
48.2978,cer,DoubleClick,Double Click,327,494,208.31,10055.97,None,N/A,
48.3075,cer,DoubleClick,Double Click,326,495,145.85,-6441.51,None,N/A,
48.3172,cer,DoubleClick,Double Click,321,498,598.36,46435.52,None,N/A,
48.3274,cer,DoubleClick,Double Click,318,500,352.78,-24028.60,None,N/A,
48.3377,cer,DoubleClick,Double Click,311,505,838.09,47282.80,None,N/A,
48.3472,cer,DoubleClick,Double Click,305,509,761.05,-8131.30,None,N/A,
48.3575,cer,DoubleClick,Double Click,285,519,2162.95,135605.42,None,N/A,
48.3674,cer,DoubleClick,Double Click,276,524,1042.82,-113454.85,None,N/A,
48.3773,cer,DoubleClick,Double Click,270,527,675.26,-36998.63,None,N/A,
48.3876,cer,DoubleClick,Double Click,261,530,921.19,23879.44,None,N/A,
48.3971,cer,DoubleClick,Double Click,257,531,436.92,-51317.05,None,N/A,
48.4073,cer,DoubleClick,Double Click,251,533,614.88,17301.75,None,N/A,
48.4174,cer,DoubleClick,Double Click,248,534,315.36,-29869.69,None,N/A,
48.4272,cer,DoubleClick,Double Click,245,535,322.86,764.92,None,N/A,
48.4368,cer,DoubleClick,Double Click,243,535,206.73,-12003.41,None,N/A,
48.4468,cer,DoubleClick,Double Click,241,535,201.28,-548.61,None,N/A,
48.4575,cer,DoubleClick,Double Click,241,535,0.00,-18785.39,None,N/A,
48.4671,cer,DoubleClick,Double Click,239,535,209.19,21880.69,None,N/A,
48.4769,cer,DoubleClick,Double Click,239,535,0.00,-21181.85,None,N/A,
48.4878,cer,DoubleClick,Double Click,238,535,91.79,8425.98,None,N/A,
48.4977,cer,DoubleClick,Double Click,238,534,101.26,958.92,None,N/A,
48.5074,cer,DoubleClick,Double Click,238,534,0.00,-10465.63,None,N/A,
48.5172,cer,DoubleClick,Double Click,238,532,202.82,20568.84,None,N/A,
48.5270,cer,DoubleClick,Double Click,239,531,145.13,-5920.89,None,N/A,
48.5378,cer,DoubleClick,Double Click,239,528,278.44,12372.99,None,N/A,
48.5469,cer,DoubleClick,Double Click,240,527,154.30,-13544.38,None,N/A,
48.5577,cer,DoubleClick,Double Click,241,525,207.57,4944.99,None,N/A,
48.5674,cer,DoubleClick,Double Click,241,524,102.56,-10769.62,None,N/A,
48.5769,cer,DoubleClick,Double Click,242,522,236.24,14123.05,None,N/A,
48.5877,cer,DoubleClick,Double Click,242,522,0.00,-21882.09,None,N/A,
48.5969,cer,DoubleClick,Double Click,242,521,108.67,11808.99,None,N/A,
48.6076,cer,DoubleClick,Double Click,243,520,132.05,2183.36,None,N/A,
48.6175,cer,DoubleClick,Double Click,243,519,100.66,-3160.08,None,N/A,
48.6270,cer,DoubleClick,Double Click,243,519,0.00,-10683.46,None,N/A,
48.6380,cer,DoubleClick,Double Click,243,519,0.00,0.00,None,N/A,
48.6476,cer,DoubleClick,Double Click,243,518,104.22,10861.65,None,N/A,
48.6571,cer,DoubleClick,Double Click,243,518,0.00,-10955.02,None,N/A,
48.6671,cer,DoubleClick,Double Click,241,518,200.36,20071.76,None,N/A,
48.6768,cer,DoubleClick,Double Click,239,518,204.74,448.02,None,N/A,
48.6876,cer,DoubleClick,Double Click,235,518,371.75,15522.37,None,N/A,
48.6973,cer,DoubleClick,Double Click,232,518,308.62,-6495.00,None,N/A,
48.7073,cer,DoubleClick,Double Click,226,518,601.16,29311.14,None,N/A,
48.7178,cer,DoubleClick,Double Click,226,518,0.00,-57027.12,None,N/A,
48.7273,cer,DoubleClick,Double Click,226,518,0.00,0.00,None,N/A,
48.7373,cer,DoubleClick,Double Click,226,518,0.00,0.00,None,N/A,
48.7469,cer,DoubleClick,Double Click,226,518,0.00,0.00,None,N/A,
48.7575,cer,DoubleClick,Double Click,226,518,0.00,0.00,None,N/A,
