Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
15.7107,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.7158,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.7253,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.7349,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.7458,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.7554,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.7653,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.7749,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.7855,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.7950,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.8056,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.8151,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.8261,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.8357,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.8453,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.8558,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.8652,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.8756,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.8851,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.8957,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.9054,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.9148,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.9252,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.9357,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.9452,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.9556,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.9651,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.9756,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.9851,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
15.9957,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
16.0052,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
16.0156,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
16.0250,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
16.0355,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
16.0450,cer,Drag,Drag,185,191,0.00,0.00,None,N/A,
16.0550,cer,Drag,Drag,216,220,4233.29,422162.17,None,N/A,
16.0657,cer,Drag,Drag,259,259,5434.12,112406.99,None,N/A,
16.0755,cer,Drag,Drag,303,301,6209.19,79118.65,None,N/A,
16.0853,cer,Drag,Drag,319,317,2295.25,-397017.38,None,N/A,
16.0950,cer,Drag,Drag,355,349,4957.29,273977.55,None,N/A,
16.1056,cer,Drag,Drag,374,363,2236.89,-257839.71,None,N/A,
16.1156,cer,Drag,Drag,408,390,4349.96,211710.90,None,N/A,
16.1255,cer,Drag,Drag,423,403,2009.57,-236942.66,None,N/A,
16.1350,cer,Drag,Drag,449,423,3424.77,147755.53,None,N/A,
16.1451,cer,Drag,Drag,461,432,1495.97,-192362.11,None,N/A,
16.1555,cer,Drag,Drag,478,448,2228.53,69929.48,None,N/A,
16.1654,cer,Drag,Drag,484,451,677.23,-156612.08,None,N/A,
16.1757,cer,Drag,Drag,488,455,551.06,-12290.69,None,N/A,
16.1857,cer,Drag,Drag,493,460,709.97,15954.82,None,N/A,
16.1952,cer,Drag,Drag,494,461,148.83,-59052.52,None,N/A,
16.2050,cer,Drag,Drag,497,463,366.56,22135.86,None,N/A,
16.2156,cer,Drag,Drag,497,463,0.00,-34447.52,None,N/A,
16.2252,cer,Drag,Drag,498,463,104.48,10916.92,None,N/A,
16.2352,cer,Drag,Drag,499,463,99.72,-474.67,None,N/A,
16.2458,cer,Drag,Drag,499,463,0.00,-9443.13,None,N/A,
16.2553,cer,Drag,Drag,499,463,0.00,0.00,None,N/A,
16.2655,cer,Drag,Drag,498,463,98.22,9647.24,None,N/A,
16.2752,cer,Drag,Drag,498,463,0.00,-10085.34,None,N/A,
16.2851,cer,Drag,Drag,498,463,0.00,0.00,None,N/A,
16.2958,cer,Drag,Drag,497,463,94.19,8872.65,None,N/A,
16.3050,cer,Drag,Drag,496,463,107.91,1480.53,None,N/A,
16.3156,cer,Drag,Drag,494,463,189.32,7705.95,None,N/A,
16.3257,cer,Drag,Drag,493,463,99.22,-8939.81,None,N/A,
16.3348,cer,Drag,Drag,491,463,218.29,12995.95,None,N/A,
16.3451,cer,Drag,Drag,490,463,97.67,-11780.74,None,N/A,
16.3549,cer,Drag,Drag,489,465,227.98,13285.70,None,N/A,
