Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
65.7505,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,Left,N/A,
65.7609,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,Left,N/A,
65.7714,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,Left,N/A,
65.7809,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,Left,N/A,
65.7915,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,Left,N/A,
65.8010,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,Left,N/A,
65.8115,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,Left,N/A,
65.8215,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,Left,N/A,
65.8312,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.8413,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.8509,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.8614,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.8709,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.8813,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.8907,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.9012,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.9108,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.9214,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.9309,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.9414,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.9510,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.9606,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.9711,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.9806,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
65.9911,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
66.0006,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
66.0112,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
66.0207,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
66.0313,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
66.0409,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
66.0514,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
66.0609,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
66.0714,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
66.0809,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
66.0912,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
66.1008,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
66.1112,cer,MenuSelection,Menu Selection,218,450,0.00,0.00,None,N/A,
66.1214,cer,MenuSelection,Menu Selection,229,446,1157.75,114516.07,None,N/A,
66.1310,cer,MenuSelection,Menu Selection,237,442,926.71,-23937.66,None,N/A,
66.1407,cer,MenuSelection,Menu Selection,261,430,2769.45,190192.13,None,N/A,
66.1507,cer,MenuSelection,Menu Selection,274,422,1530.34,-124228.30,None,N/A,
