Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
0.0155,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.0255,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.0354,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.0458,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.0554,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.0650,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.0755,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.0857,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.0952,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.1059,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.1155,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.1250,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.1351,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.1455,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.1549,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.1653,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.1757,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.1852,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.1957,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.2053,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.2150,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.2255,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.2354,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.2450,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.2554,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.2649,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.2755,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.2851,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.2955,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.3049,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.3153,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.3249,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.3355,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.3453,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.3550,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.3656,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.3754,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.3853,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.3949,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.4053,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.4158,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.4253,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.4352,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.4458,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.4552,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.4657,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.4751,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.4853,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.4956,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.5051,cer,Navigation,Navigation,468,367,0.00,0.00,None,N/A,
0.5152,cer,Navigation,Navigation,472,363,560.24,55483.96,None,N/A,
0.5249,cer,Navigation,Navigation,488,347,2337.48,183594.17,None,N/A,
0.5358,cer,Navigation,Navigation,501,333,1753.13,-53621.50,None,N/A,
0.5453,cer,Navigation,Navigation,520,309,3209.58,152712.05,None,N/A,
0.5551,cer,Navigation,Navigation,524,303,733.76,-251924.75,None,N/A,
0.5654,cer,Navigation,Navigation,528,298,621.55,-10891.95,None,N/A,
0.5728,cer,Navigation,Navigation,532,293,621.55,0.00,None,N/A,target_reached
0.5752,cer,Navigation,Navigation,532,293,657.88,3732.49,None,N/A,
0.5851,cer,Navigation,Navigation,534,291,284.63,-37561.04,None,N/A,
