Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
30.6682,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.6754,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.6861,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.6959,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.7058,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.7154,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.7250,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.7355,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.7450,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.7554,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.7650,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.7756,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.7852,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.7958,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.8053,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.8149,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.8258,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.8358,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.8454,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.8550,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.8655,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.8749,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.8853,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.8958,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.9052,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.9157,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.9253,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.9357,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.9452,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.9556,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.9652,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.9750,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.9855,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
30.9950,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
31.0054,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
31.0149,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
31.0256,cer,PrecisionSelection,Precision Selection,265,604,0.00,0.00,None,N/A,
31.0353,cer,PrecisionSelection,Precision Selection,269,603,421.34,43057.11,None,N/A,
31.0452,cer,PrecisionSelection,Precision Selection,274,600,593.94,17581.19,None,N/A,
31.0549,cer,PrecisionSelection,Precision Selection,301,584,3213.17,268156.15,None,N/A,
31.0656,cer,PrecisionSelection,Precision Selection,324,568,2620.36,-55441.88,None,N/A,
31.0755,cer,PrecisionSelection,Precision Selection,359,539,4616.77,202778.50,None,N/A,
31.0855,cer,PrecisionSelection,Precision Selection,373,524,2052.08,-256500.18,None,N/A,
31.0948,cer,PrecisionSelection,Precision Selection,403,489,4938.89,309292.95,None,N/A,
31.1050,cer,PrecisionSelection,Precision Selection,417,472,2148.74,-272233.30,None,N/A,
31.1155,cer,PrecisionSelection,Precision Selection,440,436,4074.88,183726.81,None,N/A,
31.1255,cer,PrecisionSelection,Precision Selection,449,420,1834.23,-223878.96,None,N/A,
31.1357,cer,PrecisionSelection,Precision Selection,457,404,1765.58,-6775.61,None,N/A,
31.1451,cer,PrecisionSelection,Precision Selection,467,380,2766.41,106489.02,None,N/A,
31.1550,cer,PrecisionSelection,Precision Selection,469,372,830.80,-195011.67,None,N/A,
31.1658,cer,PrecisionSelection,Precision Selection,472,362,963.64,12261.16,None,N/A,
31.1758,cer,PrecisionSelection,Precision Selection,473,358,415.22,-55229.24,None,N/A,
31.1853,cer,PrecisionSelection,Precision Selection,475,352,659.68,25498.34,None,N/A,
31.1952,cer,PrecisionSelection,Precision Selection,475,351,101.16,-56497.88,None,N/A,
31.2065,cer,PrecisionSelection,Precision Selection,476,349,198.75,8674.39,None,N/A,
31.2159,cer,PrecisionSelection,Precision Selection,477,348,150.87,-5107.68,None,N/A,
31.2252,cer,PrecisionSelection,Precision Selection,479,347,238.30,9317.31,None,N/A,
31.2354,cer,PrecisionSelection,Precision Selection,479,347,0.00,-23395.99,None,N/A,
31.2452,cer,PrecisionSelection,Precision Selection,480,347,102.38,10480.64,None,N/A,
31.2550,cer,PrecisionSelection,Precision Selection,482,346,228.19,12839.92,None,N/A,
31.2649,cer,PrecisionSelection,Precision Selection,484,346,201.51,-2688.60,None,N/A,
31.2752,cer,PrecisionSelection,Precision Selection,488,346,388.51,18162.30,None,N/A,
31.2854,cer,PrecisionSelection,Precision Selection,491,346,295.42,-9166.76,None,N/A,
31.2950,cer,PrecisionSelection,Precision Selection,496,347,531.77,24649.56,None,N/A,
