Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
221.9103,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
221.9141,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
221.9229,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
221.9324,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
221.9428,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
221.9522,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
221.9627,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
221.9723,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
221.9827,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
221.9922,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.0027,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.0122,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.0228,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.0325,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.0432,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.0529,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.0624,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.0722,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.0830,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.0925,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.1029,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.1125,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.1224,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.1329,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.1424,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.1530,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.1625,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.1721,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
222.1827,cer,Scroll,Scroll,535,182,0.00,0.00,None,N/A,
