Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
131.4585,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.4609,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.4710,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.4814,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.4911,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.5017,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.5112,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.5221,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.5318,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.5412,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.5518,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.5613,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.5717,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.5812,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.5919,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.6016,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.6111,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.6220,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.6320,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.6416,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.6515,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.6614,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.6715,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.6810,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.6915,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.7011,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.7117,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.7212,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.7318,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.7413,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.7522,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.7618,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.7717,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.7814,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.7910,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.8015,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.8109,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.8215,cer,SliderControl,Slider Control,506,239,0.00,0.00,None,N/A,
131.8312,cer,SliderControl,Slider Control,502,237,458.82,47072.85,None,N/A,
131.8416,cer,SliderControl,Slider Control,497,234,560.05,9722.77,None,N/A,
131.8517,cer,SliderControl,Slider Control,488,227,1133.93,57073.95,None,N/A,
131.8615,cer,SliderControl,Slider Control,483,225,547.38,-59620.54,None,N/A,
131.8711,cer,SliderControl,Slider Control,479,222,523.24,-2525.87,None,N/A,
131.8810,cer,SliderControl,Slider Control,469,216,1169.48,64806.40,None,N/A,
131.8910,cer,SliderControl,Slider Control,465,213,502.13,-67019.50,None,N/A,
131.9067,cer,SliderControl,Slider Control,456,209,627.14,7960.12,None,N/A,
131.9113,cer,SliderControl,Slider Control,452,207,968.08,73802.66,None,N/A,
131.9210,cer,SliderControl,Slider Control,449,206,326.46,-66238.33,None,N/A,
131.9313,cer,SliderControl,Slider Control,444,204,522.35,19000.86,None,N/A,
131.9419,cer,SliderControl,Slider Control,442,203,211.55,-29404.25,None,N/A,
131.9516,cer,SliderControl,Slider Control,440,202,229.35,1825.81,None,N/A,
131.9615,cer,SliderControl,Slider Control,439,202,101.74,-12983.00,None,N/A,
131.9714,cer,SliderControl,Slider Control,437,201,225.07,12413.58,None,N/A,
131.9814,cer,SliderControl,Slider Control,436,201,100.02,-12507.80,None,N/A,
131.9912,cer,SliderControl,Slider Control,435,201,102.22,224.25,None,N/A,
132.0016,cer,SliderControl,Slider Control,434,201,95.82,-612.89,None,N/A,
132.0111,cer,SliderControl,Slider Control,434,201,0.00,-10067.00,None,N/A,
132.0215,cer,SliderControl,Slider Control,433,201,95.99,9215.02,None,N/A,
132.0318,cer,SliderControl,Slider Control,433,200,97.56,152.70,None,N/A,
132.0411,cer,SliderControl,Slider Control,433,199,107.72,1094.46,None,N/A,
132.0511,cer,SliderControl,Slider Control,433,199,0.00,-10763.82,None,N/A,
132.0609,cer,SliderControl,Slider Control,433,197,203.26,20656.65,None,N/A,
132.0711,cer,SliderControl,Slider Control,433,196,97.88,-10314.25,None,N/A,
132.0813,cer,SliderControl,Slider Control,433,195,98.14,25.85,None,N/A,
132.0909,cer,SliderControl,Slider Control,433,193,208.14,11447.48,None,N/A,
132.1009,cer,SliderControl,Slider Control,433,192,100.41,-10817.00,None,N/A,
132.1111,cer,SliderControl,Slider Control,433,190,195.24,9257.34,None,N/A,
132.1218,cer,SliderControl,Slider Control,433,189,93.44,-9512.03,None,N/A,
132.1308,cer,SliderControl,Slider Control,434,188,157.65,7158.16,None,N/A,
132.1410,cer,SliderControl,Slider Control,434,187,98.37,-5831.62,None,N/A,
132.1508,cer,SliderControl,Slider Control,434,186,101.43,310.27,None,N/A,
132.1615,cer,SliderControl,Slider Control,435,186,93.85,-711.16,None,N/A,
132.1717,cer,SliderControl,Slider Control,435,185,97.95,401.89,None,N/A,
132.1816,cer,SliderControl,Slider Control,436,185,101.59,370.00,None,N/A,
132.1915,cer,SliderControl,Slider Control,437,184,141.93,4048.00,None,N/A,
132.2014,cer,SliderControl,Slider Control,439,184,201.35,5982.09,None,N/A,
132.2113,cer,SliderControl,Slider Control,440,183,143.46,-5872.15,None,N/A,
132.2211,cer,SliderControl,Slider Control,442,183,204.88,6290.84,None,N/A,
132.2314,cer,SliderControl,Slider Control,444,183,192.70,-1173.08,None,N/A,
