Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
0.0111,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.0211,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.0306,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.0409,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.0514,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.0610,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.0706,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.0810,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.0906,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.1014,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.1113,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.1210,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.1315,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.1409,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.1515,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.1611,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.1708,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.1813,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.1909,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.2014,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.2109,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.2214,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.2309,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.2405,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.2515,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.2609,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.2706,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.2812,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.2912,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.3006,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.3112,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.3207,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.3313,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.3414,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.3509,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.3613,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.3708,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
0.3812,geethu,Navigation,Navigation,945,541,0.00,0.00,None,N/A,
