Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
6.5766,gk,Click,Click,1006,612,359.88,-22405.52,None,N/A,
6.5804,gk,Click,Click,1004,614,749.89,103402.21,None,N/A,
6.5904,gk,Click,Click,1003,615,141.45,-60855.97,None,N/A,
6.6010,gk,Click,Click,1000,617,337.26,18316.16,None,N/A,
6.6110,gk,Click,Click,998,618,224.59,-11316.52,None,N/A,
6.6208,gk,Click,Click,997,619,144.14,-8200.05,None,N/A,
6.6305,gk,Click,Click,996,621,230.53,8907.19,None,N/A,
6.6404,gk,Click,Click,995,621,100.89,-13079.62,None,N/A,
6.6509,gk,Click,Click,994,622,134.79,3230.50,None,N/A,
6.6612,gk,Click,Click,993,623,137.59,272.85,None,N/A,
6.6705,gk,Click,Click,993,623,0.00,-14779.85,None,N/A,
6.6807,gk,Click,Click,992,624,138.22,13509.42,None,N/A,
6.6905,gk,Click,Click,992,624,0.00,-14192.35,None,N/A,
6.7012,gk,Click,Click,991,625,132.38,12392.60,None,N/A,
6.7108,gk,Click,Click,991,625,0.00,-13730.20,None,N/A,
6.7214,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.7309,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.7414,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.7513,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.7609,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.7714,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.7809,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.7917,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.8013,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.8107,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.8212,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.8306,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.8409,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.8514,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.8614,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.8713,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.8811,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.8906,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.9016,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.9112,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.9208,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.9312,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.9408,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.9513,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.9607,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.9711,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.9806,gk,Click,Click,991,625,0.00,0.00,None,N/A,
6.9910,gk,Click,Click,991,625,0.00,0.00,None,N/A,
7.0013,gk,Click,Click,991,625,0.00,0.00,None,N/A,
7.0104,gk,Click,Click,991,625,0.00,0.00,None,N/A,
7.0210,gk,Click,Click,990,626,134.10,12716.33,None,N/A,
7.0313,gk,Click,Click,990,627,96.92,-3604.05,None,N/A,
7.0410,gk,Click,Click,989,628,146.55,5143.06,None,N/A,
7.0512,gk,Click,Click,989,628,0.00,-14272.26,None,N/A,
7.0608,gk,Click,Click,988,630,233.48,24378.17,None,N/A,
7.0707,gk,Click,Click,988,630,0.00,-23652.18,None,N/A,
7.0812,gk,Click,Click,988,631,95.42,9104.66,None,N/A,
7.0905,gk,Click,Click,988,632,106.81,1217.33,None,N/A,
7.1009,gk,Click,Click,988,632,0.00,-10328.86,None,N/A,
7.1111,gk,Click,Click,988,633,98.01,9605.80,None,N/A,
7.1207,gk,Click,Click,988,633,0.00,-10147.88,None,N/A,
7.1311,gk,Click,Click,988,633,0.00,0.00,None,N/A,
7.1405,gk,Click,Click,988,633,0.00,0.00,None,N/A,
7.1509,gk,Click,Click,988,633,0.00,0.00,None,N/A,
7.1612,gk,Click,Click,988,633,0.00,0.00,None,N/A,
7.1705,gk,Click,Click,988,633,0.00,0.00,None,N/A,
7.1811,gk,Click,Click,988,633,0.00,0.00,None,N/A,
7.1909,gk,Click,Click,988,633,0.00,0.00,None,N/A,
7.2004,gk,Click,Click,988,633,0.00,0.00,None,N/A,
7.2112,gk,Click,Click,988,633,0.00,0.00,None,N/A,
7.2208,gk,Click,Click,988,633,0.00,0.00,None,N/A,
7.2306,gk,Click,Click,988,633,0.00,0.00,None,N/A,
7.2413,gk,Click,Click,988,633,0.00,0.00,None,N/A,
7.2508,gk,Click,Click,988,633,0.00,0.00,None,N/A,
7.2604,gk,Click,Click,987,633,104.25,10867.05,None,N/A,
7.2708,gk,Click,Click,987,634,96.21,-773.39,None,N/A,
7.2806,gk,Click,Click,986,636,226.95,13269.13,None,N/A,
7.2907,gk,Click,Click,986,638,199.43,-2743.33,None,N/A,
7.3012,gk,Click,Click,985,641,301.09,9678.76,None,N/A,
7.3111,gk,Click,Click,985,643,201.35,-10041.22,None,N/A,
7.3210,gk,Click,Click,984,644,142.79,-5912.38,None,N/A,
7.3305,gk,Click,Click,983,648,433.17,30507.21,None,N/A,
7.3408,gk,Click,Click,982,650,218.49,-20977.03,None,N/A,
7.3507,gk,Click,Click,980,653,363.34,14596.70,None,N/A,
7.3613,gk,Click,Click,979,654,133.07,-21667.10,None,N/A,
7.3710,gk,Click,Click,978,658,424.29,29967.38,None,N/A,
7.3808,gk,Click,Click,977,660,229.81,-19987.24,None,N/A,
7.3904,gk,Click,Click,975,664,465.24,24491.27,None,N/A,
7.4005,gk,Click,Click,975,666,196.92,-26418.51,None,N/A,
7.4105,gk,Click,Click,974,668,224.41,2759.86,None,N/A,
7.4210,gk,Click,Click,972,671,343.20,11306.78,None,N/A,
7.4310,gk,Click,Click,972,673,200.20,-14314.45,None,N/A,
7.4407,gk,Click,Click,971,675,231.11,3195.36,None,N/A,
7.4510,gk,Click,Click,970,676,136.97,-9117.85,None,N/A,
7.4608,gk,Click,Click,970,678,203.69,6795.19,None,N/A,
7.4706,gk,Click,Click,969,678,102.73,-10371.73,None,N/A,
7.4811,gk,Click,Click,969,679,94.49,-777.88,None,N/A,
7.4907,gk,Click,Click,968,680,148.50,5670.24,None,N/A,
7.5006,gk,Click,Click,968,680,0.00,-15000.46,None,N/A,
7.5113,gk,Click,Click,968,681,93.06,8660.15,None,N/A,
7.5206,gk,Click,Click,968,681,0.00,-10000.81,None,N/A,
7.5312,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.5407,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.5511,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.5607,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.5711,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.5806,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.5912,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.6008,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.6113,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.6210,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.6304,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.6409,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.6504,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.6610,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.6713,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.6806,gk,Click,Click,968,681,0.00,0.00,None,N/A,
7.6910,gk,Click,Click,968,681,0.00,0.00,None,N/A,
