Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
54.0793,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.0897,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.1002,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.1097,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.1203,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.1299,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.1394,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.1499,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.1595,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.1720,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.1799,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.1896,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.2001,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.2097,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.2202,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.2299,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.2400,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.2497,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.2596,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.2695,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.2801,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.2898,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.3004,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.3100,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.3196,gk,DoubleClick,Double Click,640,836,0.00,0.00,None,N/A,
54.3301,gk,DoubleClick,Double Click,640,833,284.73,27024.26,None,N/A,
54.3395,gk,DoubleClick,Double Click,641,830,337.48,5628.94,None,N/A,
54.3500,gk,DoubleClick,Double Click,642,828,212.44,-11879.40,None,N/A,
54.3598,gk,DoubleClick,Double Click,643,823,521.48,31605.44,None,N/A,
54.3696,gk,DoubleClick,Double Click,644,821,227.73,-29916.35,None,N/A,
54.3795,gk,DoubleClick,Double Click,645,817,417.28,19182.97,None,N/A,
54.3904,gk,DoubleClick,Double Click,646,815,205.28,-19462.01,None,N/A,
54.4001,gk,DoubleClick,Double Click,648,810,554.98,36038.83,None,N/A,
54.4100,gk,DoubleClick,Double Click,649,807,318.21,-23825.18,None,N/A,
54.4195,gk,DoubleClick,Double Click,651,798,974.29,69332.50,None,N/A,
54.4296,gk,DoubleClick,Double Click,652,792,600.53,-36900.00,None,N/A,
54.4396,gk,DoubleClick,Double Click,656,776,1654.53,105737.80,None,N/A,
54.4501,gk,DoubleClick,Double Click,658,769,689.32,-91391.41,None,N/A,
54.4600,gk,DoubleClick,Double Click,660,764,546.87,-14466.04,None,N/A,
54.4696,gk,DoubleClick,Double Click,663,753,1190.47,67198.72,None,N/A,
54.4796,gk,DoubleClick,Double Click,665,748,538.13,-65187.36,None,N/A,
54.4901,gk,DoubleClick,Double Click,669,737,1115.83,55072.64,None,N/A,
54.5001,gk,DoubleClick,Double Click,672,732,581.06,-53290.12,None,N/A,
54.5099,gk,DoubleClick,Double Click,678,720,1364.74,79718.00,None,N/A,
54.5197,gk,DoubleClick,Double Click,682,714,739.01,-64126.60,None,N/A,
54.5295,gk,DoubleClick,Double Click,704,680,4135.58,346859.65,None,N/A,
54.5403,gk,DoubleClick,Double Click,719,659,2386.19,-161753.45,None,N/A,
54.5498,gk,DoubleClick,Double Click,743,629,4038.80,173731.47,None,N/A,
54.5599,gk,DoubleClick,Double Click,755,612,2056.31,-195909.23,None,N/A,
54.5696,gk,DoubleClick,Double Click,766,598,1833.16,-22975.09,None,N/A,
