Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
18.7412,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.7510,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.7606,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.7716,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.7812,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.7911,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.8008,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.8113,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.8209,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.8304,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.8409,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.8504,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.8610,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.8710,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.8807,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.8913,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.9007,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.9113,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.9209,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.9314,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.9410,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.9510,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.9607,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.9713,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.9809,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
18.9914,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.0010,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.0105,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.0210,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.0306,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.0411,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.0507,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.0613,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.0708,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.0804,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.0914,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.1009,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.1105,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.1210,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.1305,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.1409,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.1505,gk,Drag,Drag,1178,426,0.00,0.00,None,N/A,
19.1607,gk,Drag,Drag,1174,429,489.79,47979.68,None,N/A,
19.1712,gk,Drag,Drag,1162,439,1491.19,95597.62,None,N/A,
19.1812,gk,Drag,Drag,1154,446,1058.85,-43065.06,None,N/A,
19.1908,gk,Drag,Drag,1135,456,2236.79,122715.55,None,N/A,
19.2006,gk,Drag,Drag,1129,459,684.98,-158456.88,None,N/A,
19.2112,gk,Drag,Drag,1117,464,1222.09,50491.93,None,N/A,
19.2211,gk,Drag,Drag,1111,466,638.59,-58915.86,None,N/A,
19.2308,gk,Drag,Drag,1102,470,1015.91,38920.97,None,N/A,
19.2407,gk,Drag,Drag,1098,471,415.21,-60492.91,None,N/A,
19.2509,gk,Drag,Drag,1094,471,392.61,-2218.80,None,N/A,
19.2604,gk,Drag,Drag,1088,473,670.55,29469.14,None,N/A,
19.2713,gk,Drag,Drag,1085,473,275.37,-36274.06,None,N/A,
19.2809,gk,Drag,Drag,1081,474,427.33,15748.99,None,N/A,
