Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
65.4637,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,Left,N/A,
65.4739,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,Left,N/A,
65.4846,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,Left,N/A,
65.4941,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.5040,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.5147,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.5245,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.5344,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.5441,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.5539,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.5646,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.5743,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.5839,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.5945,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.6041,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.6146,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.6242,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.6347,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.6442,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.6547,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.6643,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.6740,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.6846,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.6942,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.7048,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.7144,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.7240,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.7346,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.7443,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.7539,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.7645,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.7742,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.7848,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.7944,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.8039,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.8144,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.8240,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.8346,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.8445,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.8542,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.8639,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.8747,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.8844,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.8942,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.9039,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.9145,gk,MenuSelection,Menu Selection,984,720,0.00,0.00,None,N/A,
65.9237,gk,MenuSelection,Menu Selection,977,702,2103.11,229017.84,None,N/A,
65.9347,gk,MenuSelection,Menu Selection,971,689,1297.92,-72991.08,None,N/A,
65.9442,gk,MenuSelection,Menu Selection,965,672,1898.80,63288.52,None,N/A,
65.9543,gk,MenuSelection,Menu Selection,962,665,756.04,-113445.02,None,N/A,
65.9643,gk,MenuSelection,Menu Selection,960,659,635.88,-12081.29,None,N/A,
65.9739,gk,MenuSelection,Menu Selection,955,642,1833.47,123912.33,None,N/A,
