Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
0.0110,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.0213,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.0309,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.0405,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.0510,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.0610,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.0705,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.0811,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.0907,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.1012,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.1107,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.1212,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.1307,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.1413,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.1513,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.1611,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.1705,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.1810,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.1906,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.2016,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.2117,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.2214,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.2309,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.2413,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.2508,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.2613,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.2708,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.2813,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.2908,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.3014,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.3113,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.3213,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.3309,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.3410,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.3506,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.3612,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.3706,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.3812,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.3913,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.4009,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.4104,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.4209,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.4304,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.4409,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.4504,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.4608,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.4712,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.4807,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.4913,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.5006,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.5110,gk,Navigation,Navigation,980,551,0.00,0.00,None,N/A,
0.5208,gk,Navigation,Navigation,985,555,656.83,67378.29,None,N/A,
0.5309,gk,Navigation,Navigation,988,557,357.15,-29685.43,None,N/A,
0.5413,gk,Navigation,Navigation,995,563,884.60,50608.60,None,N/A,
0.5513,gk,Navigation,Navigation,999,566,497.18,-38523.89,None,N/A,
0.5610,gk,Navigation,Navigation,1007,574,1172.38,69967.01,None,N/A,
0.5705,gk,Navigation,Navigation,1011,578,596.73,-60723.83,None,N/A,
0.5804,gk,Navigation,Navigation,1019,586,1141.80,55009.22,None,N/A,
0.5905,gk,Navigation,Navigation,1024,590,630.99,-50337.20,None,N/A,
0.6012,gk,Navigation,Navigation,1032,597,995.89,34186.41,None,N/A,
0.6113,gk,Navigation,Navigation,1036,601,559.40,-43164.07,None,N/A,
0.6213,gk,Navigation,Navigation,1041,605,642.64,8354.07,None,N/A,
0.6309,gk,Navigation,Navigation,1050,614,1322.91,70705.70,None,N/A,
0.6409,gk,Navigation,Navigation,1054,617,500.20,-82304.28,None,N/A,
0.6505,gk,Navigation,Navigation,1061,624,1030.72,55236.45,None,N/A,
0.6613,gk,Navigation,Navigation,1064,628,463.32,-52577.39,None,N/A,
0.6705,gk,Navigation,Navigation,1070,633,844.49,41214.60,None,N/A,
0.6808,gk,Navigation,Navigation,1073,635,350.39,-48016.81,None,N/A,
0.6904,gk,Navigation,Navigation,1077,640,672.61,33847.44,None,N/A,
0.7004,gk,Navigation,Navigation,1079,642,280.97,-38904.86,None,N/A,
0.7108,gk,Navigation,Navigation,1083,646,543.54,25228.57,None,N/A,
0.7209,gk,Navigation,Navigation,1086,649,423.17,-12005.52,None,N/A,
0.7306,gk,Navigation,Navigation,1088,651,289.48,-13683.47,None,N/A,
0.7406,gk,Navigation,Navigation,1093,656,707.90,41889.50,None,N/A,
0.7515,gk,Navigation,Navigation,1097,662,662.22,-4195.05,None,N/A,
0.7612,gk,Navigation,Navigation,1099,664,291.77,-38214.14,None,N/A,
0.7712,gk,Navigation,Navigation,1100,666,224.40,-6760.77,None,N/A,
0.7808,gk,Navigation,Navigation,1103,671,607.18,39859.97,None,N/A,
0.7912,gk,Navigation,Navigation,1104,673,213.36,-37577.51,None,N/A,
0.8012,gk,Navigation,Navigation,1106,677,449.99,23810.62,None,N/A,
0.8112,gk,Navigation,Navigation,1107,679,224.22,-22639.19,None,N/A,
0.8206,gk,Navigation,Navigation,1109,682,379.89,16402.03,None,N/A,
0.8306,gk,Navigation,Navigation,1110,683,141.64,-23862.20,None,N/A,
0.8406,gk,Navigation,Navigation,1112,685,282.27,14034.57,None,N/A,
0.8514,gk,Navigation,Navigation,1114,689,416.01,12440.83,None,N/A,
0.8612,gk,Navigation,Navigation,1116,690,229.10,-19150.29,None,N/A,
0.8709,gk,Navigation,Navigation,1118,694,459.93,23740.38,None,N/A,
0.8807,gk,Navigation,Navigation,1119,695,143.96,-32164.80,None,N/A,
0.8904,gk,Navigation,Navigation,1121,699,460.92,32666.85,None,N/A,
0.9007,gk,Navigation,Navigation,1122,701,217.79,-23680.25,None,N/A,
0.9110,gk,Navigation,Navigation,1124,705,432.99,20835.71,None,N/A,
0.9210,gk,Navigation,Navigation,1125,707,224.37,-20933.05,None,N/A,
0.9304,gk,Navigation,Navigation,1127,711,472.91,26281.86,None,N/A,
0.9406,gk,Navigation,Navigation,1128,714,311.75,-15887.97,None,N/A,
0.9510,gk,Navigation,Navigation,1130,718,427.59,11076.00,None,N/A,
0.9606,gk,Navigation,Navigation,1131,720,232.54,-20284.11,None,N/A,
0.9710,gk,Navigation,Navigation,1132,721,137.09,-9252.98,None,N/A,
0.9813,gk,Navigation,Navigation,1135,725,483.04,33420.61,None,N/A,
0.9906,gk,Navigation,Navigation,1136,726,152.50,-35643.02,None,N/A,
1.0004,gk,Navigation,Navigation,1139,729,433.36,28687.58,None,N/A,
1.0112,gk,Navigation,Navigation,1140,730,130.20,-27910.18,None,N/A,
1.0206,gk,Navigation,Navigation,1143,731,339.41,22455.11,None,N/A,
1.0309,gk,Navigation,Navigation,1144,732,136.64,-19591.78,None,N/A,
1.0403,gk,Navigation,Navigation,1147,733,335.12,21034.27,None,N/A,
1.0513,gk,Navigation,Navigation,1148,734,128.52,-18775.43,None,N/A,
1.0609,gk,Navigation,Navigation,1151,734,315.58,19678.36,None,N/A,
1.0613,gk,Navigation,Navigation,1151,734,315.58,0.00,None,N/A,target_reached
1.0711,gk,Navigation,Navigation,1152,735,137.43,-17312.57,None,N/A,
1.0809,gk,Navigation,Navigation,1154,735,206.01,7063.29,None,N/A,
1.0906,gk,Navigation,Navigation,1157,736,323.55,12026.28,None,N/A,
1.1006,gk,Navigation,Navigation,1158,736,100.23,-22383.46,None,N/A,
1.1106,gk,Navigation,Navigation,1160,737,223.11,12260.87,None,N/A,
1.1216,gk,Navigation,Navigation,1161,737,91.28,-12033.56,None,N/A,
1.1307,gk,Navigation,Navigation,1163,738,245.40,16914.58,None,N/A,
1.1405,gk,Navigation,Navigation,1163,738,0.00,-25092.34,None,N/A,
1.1503,gk,Navigation,Navigation,1165,738,203.39,20683.70,None,N/A,
1.1610,gk,Navigation,Navigation,1165,738,0.00,-18967.42,None,N/A,
1.1707,gk,Navigation,Navigation,1167,738,206.94,21412.53,None,N/A,
1.1806,gk,Navigation,Navigation,1167,738,0.00,-20821.32,None,N/A,
1.1908,gk,Navigation,Navigation,1168,738,98.76,9753.84,None,N/A,
1.2009,gk,Navigation,Navigation,1169,737,139.29,3991.70,None,N/A,
1.2113,gk,Navigation,Navigation,1170,737,96.10,-4150.72,None,N/A,
1.2210,gk,Navigation,Navigation,1171,736,145.29,5054.08,None,N/A,
1.2307,gk,Navigation,Navigation,1172,736,104.04,-4292.00,None,N/A,
1.2413,gk,Navigation,Navigation,1173,735,132.87,2708.89,None,N/A,
1.2513,gk,Navigation,Navigation,1173,735,0.00,-13316.06,None,N/A,
1.2610,gk,Navigation,Navigation,1174,734,145.79,15029.51,None,N/A,
1.2704,gk,Navigation,Navigation,1174,734,0.00,-15415.99,None,N/A,
1.2809,gk,Navigation,Navigation,1175,734,95.19,9060.50,None,N/A,
1.2904,gk,Navigation,Navigation,1175,734,0.00,-10031.70,None,N/A,
1.3009,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.3114,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.3210,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.3305,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.3411,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.3507,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.3612,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.3707,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.3809,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.3904,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.4009,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.4106,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.4212,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.4308,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.4405,gk,Navigation,Navigation,1175,734,0.00,0.00,None,N/A,
1.4505,gk,Navigation,Navigation,1174,735,141.46,14150.26,None,N/A,
1.4613,gk,Navigation,Navigation,1172,736,207.42,6117.90,None,N/A,
1.4712,gk,Navigation,Navigation,1171,737,143.19,-6502.97,None,N/A,
1.4804,gk,Navigation,Navigation,1167,738,448.26,33167.57,None,N/A,
