Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
36.3936,gk,PrecisionSelection,Precision Selection,749,590,111.59,8805.02,None,N/A,
36.4011,gk,PrecisionSelection,Precision Selection,749,590,0.00,-14959.55,None,N/A,
36.4106,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.4212,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.4307,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.4413,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.4509,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.4614,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.4709,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.4805,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.4912,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.5008,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.5112,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.5207,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.5313,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.5409,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.5505,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.5613,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.5710,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.5806,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.5911,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.6006,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.6112,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.6206,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.6312,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.6409,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.6505,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.6609,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.6706,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.6811,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.6906,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.7013,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.7109,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.7206,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.7313,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.7409,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.7514,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.7611,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.7706,gk,PrecisionSelection,Precision Selection,749,590,0.00,0.00,None,N/A,
36.7811,gk,PrecisionSelection,Precision Selection,753,588,425.04,40396.83,None,N/A,
36.7911,gk,PrecisionSelection,Precision Selection,756,585,427.47,245.20,None,N/A,
36.8016,gk,PrecisionSelection,Precision Selection,764,580,895.63,44445.22,None,N/A,
36.8105,gk,PrecisionSelection,Precision Selection,769,577,656.22,-26943.29,None,N/A,
36.8209,gk,PrecisionSelection,Precision Selection,777,572,901.90,23486.79,None,N/A,
36.8310,gk,PrecisionSelection,Precision Selection,781,570,444.04,-45460.91,None,N/A,
36.8410,gk,PrecisionSelection,Precision Selection,786,568,542.01,9860.29,None,N/A,
36.8506,gk,PrecisionSelection,Precision Selection,794,564,922.76,39282.18,None,N/A,
36.8607,gk,PrecisionSelection,Precision Selection,799,561,582.73,-33981.98,None,N/A,
36.8711,gk,PrecisionSelection,Precision Selection,812,556,1328.63,71151.14,None,N/A,
36.8810,gk,PrecisionSelection,Precision Selection,818,554,639.18,-69678.10,None,N/A,
36.8909,gk,PrecisionSelection,Precision Selection,833,547,1678.55,105397.17,None,N/A,
36.9009,gk,PrecisionSelection,Precision Selection,843,543,1075.34,-60225.86,None,N/A,
36.9104,gk,PrecisionSelection,Precision Selection,868,534,2805.00,182595.68,None,N/A,
36.9214,gk,PrecisionSelection,Precision Selection,878,529,1018.15,-162721.10,None,N/A,
36.9309,gk,PrecisionSelection,Precision Selection,901,519,2637.73,170336.59,None,N/A,
36.9406,gk,PrecisionSelection,Precision Selection,912,515,1197.86,-147356.25,None,N/A,
36.9509,gk,PrecisionSelection,Precision Selection,921,512,921.21,-26863.91,None,N/A,
36.9614,gk,PrecisionSelection,Precision Selection,935,508,1389.28,44661.67,None,N/A,
36.9713,gk,PrecisionSelection,Precision Selection,943,507,814.54,-58066.79,None,N/A,
36.9811,gk,PrecisionSelection,Precision Selection,957,507,1431.43,63074.57,None,N/A,
36.9908,gk,PrecisionSelection,Precision Selection,963,508,625.15,-82864.95,None,N/A,
37.0004,gk,PrecisionSelection,Precision Selection,973,509,1044.38,43566.40,None,N/A,
37.0108,gk,PrecisionSelection,Precision Selection,977,509,385.27,-63483.64,None,N/A,
37.0213,gk,PrecisionSelection,Precision Selection,983,511,603.81,20864.25,None,N/A,
37.0309,gk,PrecisionSelection,Precision Selection,986,511,313.03,-30340.76,None,N/A,
37.0405,gk,PrecisionSelection,Precision Selection,990,513,467.26,16113.57,None,N/A,
37.0507,gk,PrecisionSelection,Precision Selection,992,513,195.56,-26566.42,None,N/A,
37.0610,gk,PrecisionSelection,Precision Selection,994,514,216.21,1996.53,None,N/A,
37.0711,gk,PrecisionSelection,Precision Selection,995,514,99.22,-11607.72,None,N/A,
37.0809,gk,PrecisionSelection,Precision Selection,996,514,101.81,263.32,None,N/A,
37.0913,gk,PrecisionSelection,Precision Selection,997,515,136.94,3401.93,None,N/A,
37.1006,gk,PrecisionSelection,Precision Selection,997,515,0.00,-14723.10,None,N/A,
37.1109,gk,PrecisionSelection,Precision Selection,998,515,96.43,9299.53,None,N/A,
37.1206,gk,PrecisionSelection,Precision Selection,998,515,0.00,-9957.51,None,N/A,
37.1306,gk,PrecisionSelection,Precision Selection,999,515,100.46,10093.17,None,N/A,
37.1410,gk,PrecisionSelection,Precision Selection,999,515,0.00,-9607.60,None,N/A,
37.1505,gk,PrecisionSelection,Precision Selection,1000,514,149.52,15809.22,None,N/A,
37.1604,gk,PrecisionSelection,Precision Selection,1001,514,100.46,-4929.16,None,N/A,
37.1711,gk,PrecisionSelection,Precision Selection,1003,513,209.45,10209.86,None,N/A,
37.1809,gk,PrecisionSelection,Precision Selection,1004,512,144.59,-6631.82,None,N/A,
37.1907,gk,PrecisionSelection,Precision Selection,1005,511,143.90,-70.31,None,N/A,
37.2005,gk,PrecisionSelection,Precision Selection,1009,508,512.41,37766.29,None,N/A,
37.2109,gk,PrecisionSelection,Precision Selection,1012,507,304.91,-20007.65,None,N/A,
37.2210,gk,PrecisionSelection,Precision Selection,1017,503,630.81,32106.12,None,N/A,
37.2312,gk,PrecisionSelection,Precision Selection,1020,502,309.02,-31445.36,None,N/A,
37.2413,gk,PrecisionSelection,Precision Selection,1026,499,665.32,35337.12,None,N/A,
37.2504,gk,PrecisionSelection,Precision Selection,1030,497,490.03,-19206.64,None,N/A,
37.2613,gk,PrecisionSelection,Precision Selection,1038,494,788.42,27534.66,None,N/A,
37.2711,gk,PrecisionSelection,Precision Selection,1041,492,367.18,-42898.24,None,N/A,
37.2811,gk,PrecisionSelection,Precision Selection,1048,490,727.79,36049.22,None,N/A,
37.2912,gk,PrecisionSelection,Precision Selection,1050,488,280.89,-44381.32,None,N/A,
37.3006,gk,PrecisionSelection,Precision Selection,1053,487,335.07,5740.83,None,N/A,
37.3105,gk,PrecisionSelection,Precision Selection,1056,485,364.89,3017.25,None,N/A,
37.3212,gk,PrecisionSelection,Precision Selection,1058,485,186.25,-16635.66,None,N/A,
37.3309,gk,PrecisionSelection,Precision Selection,1061,483,372.69,19272.21,None,N/A,
37.3407,gk,PrecisionSelection,Precision Selection,1062,483,102.24,-27651.19,None,N/A,
37.3504,gk,PrecisionSelection,Precision Selection,1064,481,291.28,19468.02,None,N/A,
37.3605,gk,PrecisionSelection,Precision Selection,1065,481,98.76,-19013.06,None,N/A,
37.3711,gk,PrecisionSelection,Precision Selection,1067,480,211.82,10710.31,None,N/A,
37.3810,gk,PrecisionSelection,Precision Selection,1068,480,100.98,-11192.66,None,N/A,
37.3905,gk,PrecisionSelection,Precision Selection,1070,479,235.65,14192.28,None,N/A,
37.4005,gk,PrecisionSelection,Precision Selection,1071,478,141.25,-9428.97,None,N/A,
37.4106,gk,PrecisionSelection,Precision Selection,1072,478,98.99,-4182.70,None,N/A,
37.4211,gk,PrecisionSelection,Precision Selection,1074,477,212.70,10815.77,None,N/A,
37.4311,gk,PrecisionSelection,Precision Selection,1075,477,99.55,-11263.94,None,N/A,
37.4407,gk,PrecisionSelection,Precision Selection,1077,476,234.05,14079.04,None,N/A,
37.4511,gk,PrecisionSelection,Precision Selection,1078,476,96.35,-13267.89,None,N/A,
37.4612,gk,PrecisionSelection,Precision Selection,1079,475,140.08,4330.95,None,N/A,
37.4713,gk,PrecisionSelection,Precision Selection,1080,475,98.92,-4071.71,None,N/A,
37.4809,gk,PrecisionSelection,Precision Selection,1081,475,103.99,527.93,None,N/A,
37.4909,gk,PrecisionSelection,Precision Selection,1082,475,99.82,-416.06,None,N/A,
37.5012,gk,PrecisionSelection,Precision Selection,1082,475,0.00,-9659.52,None,N/A,
37.5104,gk,PrecisionSelection,Precision Selection,1083,475,109.09,11900.08,None,N/A,
37.5207,gk,PrecisionSelection,Precision Selection,1083,475,0.00,-10655.22,None,N/A,
37.5308,gk,PrecisionSelection,Precision Selection,1083,475,0.00,0.00,None,N/A,
37.5413,gk,PrecisionSelection,Precision Selection,1083,475,0.00,0.00,None,N/A,
37.5508,gk,PrecisionSelection,Precision Selection,1083,474,105.43,11115.95,None,N/A,
37.5612,gk,PrecisionSelection,Precision Selection,1083,474,0.00,-10105.46,None,N/A,
37.5707,gk,PrecisionSelection,Precision Selection,1083,474,0.00,0.00,None,N/A,
37.5808,gk,PrecisionSelection,Precision Selection,1083,474,0.00,0.00,None,N/A,
37.5905,gk,PrecisionSelection,Precision Selection,1084,474,103.91,10796.63,None,N/A,
37.6005,gk,PrecisionSelection,Precision Selection,1084,473,99.28,-459.08,None,N/A,
37.6113,gk,PrecisionSelection,Precision Selection,1085,473,93.06,-579.11,None,N/A,
37.6212,gk,PrecisionSelection,Precision Selection,1085,472,100.81,780.77,None,N/A,
37.6306,gk,PrecisionSelection,Precision Selection,1085,472,0.00,-10700.20,None,N/A,
37.6406,gk,PrecisionSelection,Precision Selection,1085,472,0.00,0.00,None,N/A,
37.6505,gk,PrecisionSelection,Precision Selection,1085,472,0.00,0.00,None,N/A,
37.6610,gk,PrecisionSelection,Precision Selection,1085,472,0.00,0.00,None,N/A,
37.6705,gk,PrecisionSelection,Precision Selection,1085,472,0.00,0.00,None,N/A,
37.6811,gk,PrecisionSelection,Precision Selection,1085,472,0.00,0.00,None,N/A,
37.6905,gk,PrecisionSelection,Precision Selection,1085,472,0.00,0.00,None,N/A,
37.7010,gk,PrecisionSelection,Precision Selection,1085,472,0.00,0.00,None,N/A,
37.7105,gk,PrecisionSelection,Precision Selection,1085,472,0.00,0.00,None,N/A,
37.7209,gk,PrecisionSelection,Precision Selection,1085,472,0.00,0.00,None,N/A,
37.7313,gk,PrecisionSelection,Precision Selection,1085,472,0.00,0.00,None,N/A,
37.7404,gk,PrecisionSelection,Precision Selection,1085,472,0.00,0.00,None,N/A,
37.7513,gk,PrecisionSelection,Precision Selection,1085,472,0.00,0.00,None,N/A,
37.7614,gk,PrecisionSelection,Precision Selection,1084,473,140.68,13994.96,None,N/A,
37.7711,gk,PrecisionSelection,Precision Selection,1084,473,0.00,-14481.30,None,N/A,
37.7809,gk,PrecisionSelection,Precision Selection,1084,473,0.00,0.00,None,N/A,
37.7911,gk,PrecisionSelection,Precision Selection,1083,474,138.58,13578.95,None,N/A,
37.8005,gk,PrecisionSelection,Precision Selection,1083,474,0.00,-14678.72,None,N/A,
37.8112,gk,PrecisionSelection,Precision Selection,1082,475,133.09,12524.75,None,N/A,
37.8213,gk,PrecisionSelection,Precision Selection,1082,475,0.00,-13146.86,None,N/A,
37.8308,gk,PrecisionSelection,Precision Selection,1081,475,104.44,10908.22,None,N/A,
37.8413,gk,PrecisionSelection,Precision Selection,1081,475,0.00,-9945.36,None,N/A,
37.8504,gk,PrecisionSelection,Precision Selection,1081,476,110.48,12206.07,None,N/A,
37.8613,gk,PrecisionSelection,Precision Selection,1081,476,0.00,-10107.56,None,N/A,
37.8709,gk,PrecisionSelection,Precision Selection,1081,476,0.00,0.00,None,N/A,
37.8814,gk,PrecisionSelection,Precision Selection,1081,476,0.00,0.00,None,N/A,
37.8912,gk,PrecisionSelection,Precision Selection,1081,476,0.00,0.00,None,N/A,
37.9006,gk,PrecisionSelection,Precision Selection,1081,476,0.00,0.00,None,N/A,
37.9112,gk,PrecisionSelection,Precision Selection,1081,476,0.00,0.00,None,N/A,
37.9207,gk,PrecisionSelection,Precision Selection,1081,476,0.00,0.00,None,N/A,
37.9313,gk,PrecisionSelection,Precision Selection,1081,476,0.00,0.00,None,N/A,
37.9411,gk,PrecisionSelection,Precision Selection,1081,477,102.22,10449.50,None,N/A,
37.9507,gk,PrecisionSelection,Precision Selection,1081,477,0.00,-10596.45,None,N/A,
37.9606,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
37.9713,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
37.9810,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
37.9908,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.0006,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.0114,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.0211,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.0307,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.0413,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.0509,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.0607,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.0713,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.0809,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.0907,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.1004,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.1111,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.1207,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.1313,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.1409,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.1504,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
38.1610,gk,PrecisionSelection,Precision Selection,1081,477,0.00,0.00,None,N/A,
