Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
154.1396,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.1431,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.1508,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.1614,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.1713,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.1809,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.1915,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.2010,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.2119,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.2220,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.2316,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.2412,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.2508,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.2614,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.2711,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.2816,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.2914,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.3015,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.3116,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.3217,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.3313,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.3409,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.3513,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.3611,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.3717,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.3817,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.3913,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.4008,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.4112,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.4217,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.4312,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.4408,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.4516,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.4613,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.4709,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.4820,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.4915,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.5015,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.5117,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.5217,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.5317,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.5418,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.5514,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.5609,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.5713,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.5809,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.5913,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.6009,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.6116,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.6216,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.6313,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.6409,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.6516,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.6613,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.6713,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.6813,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.6909,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.7015,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.7110,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.7214,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.7309,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.7413,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.7510,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.7616,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.7717,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.7814,gk,Scroll,Scroll,703,370,0.00,0.00,None,N/A,
154.7910,gk,Scroll,Scroll,702,371,148.01,15490.52,None,N/A,
154.8016,gk,Scroll,Scroll,697,374,545.17,37132.53,None,N/A,
154.8113,gk,Scroll,Scroll,695,376,294.10,-26106.01,None,N/A,
154.8206,gk,Scroll,Scroll,690,381,755.01,49212.58,None,N/A,
154.8307,gk,Scroll,Scroll,688,383,279.65,-46999.13,None,N/A,
154.8416,gk,Scroll,Scroll,684,386,459.66,16548.72,None,N/A,
154.8512,gk,Scroll,Scroll,683,387,147.38,-32543.43,None,N/A,
154.8612,gk,Scroll,Scroll,681,388,224.68,7767.15,None,N/A,
154.8709,gk,Scroll,Scroll,678,390,370.66,15006.76,None,N/A,
154.8813,gk,Scroll,Scroll,677,391,135.79,-22551.72,None,N/A,
154.8911,gk,Scroll,Scroll,676,393,228.92,9534.26,None,N/A,
154.9009,gk,Scroll,Scroll,675,393,102.29,-12953.24,None,N/A,
154.9108,gk,Scroll,Scroll,674,394,142.63,4068.99,None,N/A,
154.9210,gk,Scroll,Scroll,673,395,138.32,-422.22,None,N/A,
154.9310,gk,Scroll,Scroll,673,395,0.00,-13832.18,None,N/A,
