Time,ParticipantID,Task,Label,X,Y,Velocity,Acceleration,ButtonState,ActiveWindow,Event
106.6253,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.6314,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.6412,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.6508,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.6614,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.6712,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.6808,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.6916,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.7012,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.7107,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.7213,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.7308,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.7411,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.7512,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.7609,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.7720,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.7816,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.7921,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.8021,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.8121,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.8211,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.8312,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.8412,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.8509,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.8615,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.8711,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.8816,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.8912,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.9008,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.9116,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.9213,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.9315,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.9416,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.9517,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.9618,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.9714,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.9809,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
106.9915,gk,SliderControl,Slider Control,1031,494,0.00,0.00,None,N/A,
